"doi","title","publisher","container","type","issued","url"
"10.1145/3503161.3548217","Generative Steganography Network","ACM","Proceedings of the 30th ACM International Conference on Multimedia","proceedings-article","2022-10-10","https://doi.org/10.1145/3503161.3548217"
"10.3390/math8091394","Coverless Image Steganography Based on Generative Adversarial Network","MDPI AG","Mathematics","journal-article","2020-8-20","https://doi.org/10.3390/math8091394"
"10.3390/electronics12132881","IDGAN: Information-Driven Generative Adversarial Network of Coverless Image Steganography","MDPI AG","Electronics","journal-article","2023-6-29","https://doi.org/10.3390/electronics12132881"
"10.1016/j.eswa.2024.123420","Leveraging coverless image steganography to hide secret information by generating anime characters using GAN","Elsevier BV","Expert Systems with Applications","journal-article","2024-8","https://doi.org/10.1016/j.eswa.2024.123420"
"10.1109/TCSVT.2024.3451620","Robust Generative Steganography Based on Image Mapping","Institute of Electrical and Electronics Engineers (IEEE)","IEEE Transactions on Circuits and Systems for Video Technology","journal-article","2024-12","https://doi.org/10.1109/tcsvt.2024.3451620"
"10.1145/3664647.3680824","Cover-separable Fixed Neural Network Steganography via Deep Generative Models","ACM","Proceedings of the 32nd ACM International Conference on Multimedia","proceedings-article","2024-10-28","https://doi.org/10.1145/3664647.3680824"
"10.1016/j.sigpro.2025.109988","High-accuracy image steganography with invertible neural network and generative adversarial network","Elsevier BV","Signal Processing","journal-article","2025-9","https://doi.org/10.1016/j.sigpro.2025.109988"
"10.1109/TDSC.2024.3521424","Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","Institute of Electrical and Electronics Engineers (IEEE)","IEEE Transactions on Dependable and Secure Computing","journal-article","2025-5","https://doi.org/10.1109/tdsc.2024.3521424"
"10.1109/TCSVT.2024.3454457","A Universal Framework for Improving the Robustness of Coverless Image Steganography Based on Image Restoration","Institute of Electrical and Electronics Engineers (IEEE)","IEEE Transactions on Circuits and Systems for Video Technology","journal-article","2025-1","https://doi.org/10.1109/tcsvt.2024.3454457"
"10.1007/s11042-026-21718-4","StyleStego: a novel paradigm for high-capacity steganography using per layer noise maps in StyleGAN for cross-domain robustness","Springer Science and Business Media LLC","Multimedia Tools and Applications","journal-article","2026-6-13","https://doi.org/10.1007/s11042-026-21718-4"
"10.1016/j.eswa.2024.123540","High invisibility image steganography with wavelet transform and generative adversarial network","Elsevier BV","Expert Systems with Applications","journal-article","2024-9","https://doi.org/10.1016/j.eswa.2024.123540"
