"query","title","year","venue","doi","citations","influential_citations","url","open_access_pdf"
"deep learning image steganography high capacity robust extraction","Large Scale GAN Training for High Fidelity Natural Image Synthesis","2018","International Conference on Learning Representations",,"6190","639","https://www.semanticscholar.org/paper/22aab110058ebbd198edb1f1e7b4f69fb13c0613",""
"coverless image steganography image synthesis GAN","Large Scale GAN Training for High Fidelity Natural Image Synthesis","2018","International Conference on Learning Representations",,"6190","639","https://www.semanticscholar.org/paper/22aab110058ebbd198edb1f1e7b4f69fb13c0613",""
"image steganography steganalysis deep learning high payload","Generative Steganography Network","2022","ACM Multimedia","10.1145/3503161.3548217","77","2","https://www.semanticscholar.org/paper/e59adfbc755cc8d631d4290e39260fa3ffb04503","https://arxiv.org/pdf/2207.13867"
"generative steganography without cover image extraction network","Generative Steganography Network","2022","ACM Multimedia","10.1145/3503161.3548217","77","2","https://www.semanticscholar.org/paper/e59adfbc755cc8d631d4290e39260fa3ffb04503","https://arxiv.org/pdf/2207.13867"
"coverless image steganography generative adversarial network high capacity","High invisibility image steganography with wavelet transform and generative adversarial network","2024","Expert systems with applications","10.1016/j.eswa.2024.123540","59","2","https://www.semanticscholar.org/paper/cd3cff269257b176c9ad5f05f47d91a689096521",""
"coverless image steganography generative adversarial network high capacity","Coverless Image Steganography Based on Generative Adversarial Network","2020","Mathematics","10.3390/math8091394","55","1","https://www.semanticscholar.org/paper/a2a74cbb5d84441be098bf3d671d46a23a9f9b04","https://www.mdpi.com/2227-7390/8/9/1394/pdf?version=1597981412"
"coverless image steganography image synthesis GAN","AutoInfo GAN: Toward a better image synthesis GAN framework for high-fidelity few-shot datasets via NAS and contrastive learning","2023","Knowledge-Based Systems","10.1016/j.knosys.2023.110757","27","1","https://www.semanticscholar.org/paper/49b6b4c7c77e2a937d30af4210e955d6887bdfc7",""
"deep learning image steganography high capacity robust extraction","AutoInfo GAN: Toward a better image synthesis GAN framework for high-fidelity few-shot datasets via NAS and contrastive learning","2023","Knowledge-Based Systems","10.1016/j.knosys.2023.110757","27","1","https://www.semanticscholar.org/paper/49b6b4c7c77e2a937d30af4210e955d6887bdfc7",""
"generative steganography without cover image extraction network","A High-Capacity and High-Security Image Steganography Network Based on Chaotic Mapping and Generative Adversarial Networks","2024","Applied Sciences","10.3390/app14031225","25","0","https://www.semanticscholar.org/paper/710b123d8a06df98fc5ff8b3026a10682ce5ecb4","https://www.mdpi.com/2076-3417/14/3/1225/pdf?version=1706775206"
"neural image steganography high capacity robustness steganalysis","A High-Capacity and High-Security Image Steganography Network Based on Chaotic Mapping and Generative Adversarial Networks","2024","Applied Sciences","10.3390/app14031225","25","0","https://www.semanticscholar.org/paper/710b123d8a06df98fc5ff8b3026a10682ce5ecb4","https://www.mdpi.com/2076-3417/14/3/1225/pdf?version=1706775206"
"image steganography steganalysis deep learning high payload","A High-Capacity and High-Security Image Steganography Network Based on Chaotic Mapping and Generative Adversarial Networks","2024","Applied Sciences","10.3390/app14031225","25","0","https://www.semanticscholar.org/paper/710b123d8a06df98fc5ff8b3026a10682ce5ecb4","https://www.mdpi.com/2076-3417/14/3/1225/pdf?version=1706775206"
"coverless image steganography generative adversarial network high capacity","A High-Capacity and High-Security Image Steganography Network Based on Chaotic Mapping and Generative Adversarial Networks","2024","Applied Sciences","10.3390/app14031225","25","0","https://www.semanticscholar.org/paper/710b123d8a06df98fc5ff8b3026a10682ce5ecb4","https://www.mdpi.com/2076-3417/14/3/1225/pdf?version=1706775206"
"coverless image steganography image synthesis GAN","Leveraging coverless image steganography to hide secret information by generating anime characters using GAN","2024","Expert systems with applications","10.1016/j.eswa.2024.123420","16","0","https://www.semanticscholar.org/paper/ffe7582dd42b611ae0a38802f631e7957df5ece7",""
"deep learning image steganography high capacity robust extraction","Leveraging coverless image steganography to hide secret information by generating anime characters using GAN","2024","Expert systems with applications","10.1016/j.eswa.2024.123420","16","0","https://www.semanticscholar.org/paper/ffe7582dd42b611ae0a38802f631e7957df5ece7",""
"deep learning image steganography high capacity robust extraction","Deep Learning-Based Coverless Image Steganography on Medical Images Shared via Cloud","2024","RAiSE-2023","10.3390/engproc2023059176","15","0","https://www.semanticscholar.org/paper/105dd8659dfe7b745314ac48e32f9a121a4a81dc","https://www.mdpi.com/2673-4591/59/1/176/pdf?version=1705570183"
"coverless image steganography image synthesis GAN","Deep Learning-Based Coverless Image Steganography on Medical Images Shared via Cloud","2024","RAiSE-2023","10.3390/engproc2023059176","15","0","https://www.semanticscholar.org/paper/105dd8659dfe7b745314ac48e32f9a121a4a81dc","https://www.mdpi.com/2673-4591/59/1/176/pdf?version=1705570183"
"generative steganography without cover image extraction network","Cover-separable Fixed Neural Network Steganography via Deep Generative Models","2024","ACM Multimedia","10.1145/3664647.3680824","14","2","https://www.semanticscholar.org/paper/78c85007c546fa99d559416ea4e9cab76d390c52","http://arxiv.org/pdf/2407.11405"
"image steganography steganalysis deep learning high payload","Cover-separable Fixed Neural Network Steganography via Deep Generative Models","2024","ACM Multimedia","10.1145/3664647.3680824","14","2","https://www.semanticscholar.org/paper/78c85007c546fa99d559416ea4e9cab76d390c52","http://arxiv.org/pdf/2407.11405"
"neural image steganography high capacity robustness steganalysis","DISH: Digital image steganography using stochastic-computing with high-capacity","2024","Multimedia tools and applications","10.1007/s11042-023-17998-9","14","0","https://www.semanticscholar.org/paper/0185ba9c390e5b6559a941ace36efa64bc8979f2","https://link.springer.com/content/pdf/10.1007/s11042-023-17998-9.pdf"
"deep learning image steganography high capacity robust extraction","IDGAN: Information-Driven Generative Adversarial Network of Coverless Image Steganography","2023","Electronics","10.3390/electronics12132881","13","1","https://www.semanticscholar.org/paper/14eb84e4771e71edd9559e0170c5c19e832f7b69","https://www.mdpi.com/2079-9292/12/13/2881/pdf?version=1688037983"
"coverless image steganography image synthesis GAN","IDGAN: Information-Driven Generative Adversarial Network of Coverless Image Steganography","2023","Electronics","10.3390/electronics12132881","13","1","https://www.semanticscholar.org/paper/14eb84e4771e71edd9559e0170c5c19e832f7b69","https://www.mdpi.com/2079-9292/12/13/2881/pdf?version=1688037983"
"coverless image steganography generative adversarial network high capacity","IDGAN: Information-Driven Generative Adversarial Network of Coverless Image Steganography","2023","Electronics","10.3390/electronics12132881","13","1","https://www.semanticscholar.org/paper/14eb84e4771e71edd9559e0170c5c19e832f7b69","https://www.mdpi.com/2079-9292/12/13/2881/pdf?version=1688037983"
"coverless image steganography image synthesis GAN","A Universal Framework for Improving the Robustness of Coverless Image Steganography Based on Image Restoration","2025","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3454457","12","0","https://www.semanticscholar.org/paper/4a2e0f9cf41010e994f77ffd6b9041ab36a73a93",""
"deep learning image steganography high capacity robust extraction","A Universal Framework for Improving the Robustness of Coverless Image Steganography Based on Image Restoration","2025","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3454457","12","0","https://www.semanticscholar.org/paper/4a2e0f9cf41010e994f77ffd6b9041ab36a73a93",""
"coverless image steganography generative adversarial network high capacity","AGASI: A Generative Adversarial Network-Based Approach to Strengthening Adversarial Image Steganography","2025","Entropy","10.3390/e27030282","11","0","https://www.semanticscholar.org/paper/35f10be570228fe3690d2ff0b8223a49087e6ab2","https://doi.org/10.3390/e27030282"
"coverless image steganography generative adversarial network high capacity","High-accuracy image steganography with invertible neural network and generative adversarial network","2025","Signal Processing","10.1016/j.sigpro.2025.109988","11","1","https://www.semanticscholar.org/paper/48ab13db93cd28e64b8ac69931ab8eae43313d50",""
"deep learning image steganography high capacity robust extraction","Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","2025","IEEE Transactions on Dependable and Secure Computing","10.1109/TDSC.2024.3521424","10","1","https://www.semanticscholar.org/paper/baf2501c86b98296e651ad56b33bee24b15ba7ab",""
"neural image steganography high capacity robustness steganalysis","Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","2025","IEEE Transactions on Dependable and Secure Computing","10.1109/TDSC.2024.3521424","10","1","https://www.semanticscholar.org/paper/baf2501c86b98296e651ad56b33bee24b15ba7ab",""
"coverless image steganography image synthesis GAN","Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","2025","IEEE Transactions on Dependable and Secure Computing","10.1109/TDSC.2024.3521424","10","1","https://www.semanticscholar.org/paper/baf2501c86b98296e651ad56b33bee24b15ba7ab",""
