image,image_index,trial,attack,payload_bpp_requested,nominal_bpp_used,ecc_bytes,payload_bytes,effective_user_bpp,raw_bit_ber,exact_recovery,decode_error,mean_abs_logit,p01_abs_logit,p05_abs_logit,psnr_db,global_ssim
05_artifacts\data\sample_images\000000001503.jpg,0,0,clean,0.25,0.25,64,6080,0.185546875,0.0002593994140625,True,,9.7227783203125,2.9967081546783447,4.747608184814453,39.015587555175095,0.9988255219629549
05_artifacts\data\sample_images\000000001503.jpg,0,0,jpeg95,0.25,0.25,64,6080,0.185546875,0.4563751220703125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.7307662963867188,0.05224322900176048,0.26641419529914856,39.015587555175095,0.9988255219629549
05_artifacts\data\sample_images\000000001503.jpg,0,0,blur1,0.25,0.25,64,6080,0.185546875,0.3755950927734375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.774599552154541,0.04992137849330902,0.24428969621658325,39.015587555175095,0.9988255219629549
05_artifacts\data\sample_images\000000001503.jpg,0,0,resize0.75,0.25,0.25,64,6080,0.185546875,0.1988983154296875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,4.241733551025391,0.07051725685596466,0.35239914059638977,39.015587555175095,0.9988255219629549
05_artifacts\data\sample_images\000000001503.jpg,0,0,clean,0.25,0.25,96,5056,0.154296875,0.0003814697265625,True,,9.71196174621582,3.023306369781494,4.739226341247559,39.015240257777194,0.9988254357265076
05_artifacts\data\sample_images\000000001503.jpg,0,0,jpeg95,0.25,0.25,96,5056,0.154296875,0.4610748291015625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.7105846405029297,0.05760226771235466,0.2783138155937195,39.015240257777194,0.9988254357265076
05_artifacts\data\sample_images\000000001503.jpg,0,0,blur1,0.25,0.25,96,5056,0.154296875,0.3755645751953125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.778275728225708,0.04836493730545044,0.2441311627626419,39.015240257777194,0.9988254357265076
05_artifacts\data\sample_images\000000001503.jpg,0,0,resize0.75,0.25,0.25,96,5056,0.154296875,0.1992340087890625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,4.240424156188965,0.06675142049789429,0.35458648204803467,39.015240257777194,0.9988254357265076
05_artifacts\data\sample_images\000000001503.jpg,0,0,clean,0.25,0.25,128,4032,0.123046875,4.57763671875e-05,True,,9.720514297485352,3.086909294128418,4.76931095123291,39.01239793126608,0.9988246027978281
05_artifacts\data\sample_images\000000001503.jpg,0,0,jpeg95,0.25,0.25,128,4032,0.123046875,0.4592132568359375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.7227649688720703,0.056069210171699524,0.27267688512802124,39.01239793126608,0.9988246027978281
05_artifacts\data\sample_images\000000001503.jpg,0,0,blur1,0.25,0.25,128,4032,0.123046875,0.376373291015625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.7765798568725586,0.04815904423594475,0.2538413405418396,39.01239793126608,0.9988246027978281
05_artifacts\data\sample_images\000000001503.jpg,0,0,resize0.75,0.25,0.25,128,4032,0.123046875,0.199737548828125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,4.240785598754883,0.06749700754880905,0.34788718819618225,39.01239793126608,0.9988246027978281
05_artifacts\data\sample_images\000000001503.jpg,0,0,clean,0.25,0.25,160,3008,0.091796875,0.00018310546875,True,,9.704916000366211,3.0468719005584717,4.716573715209961,39.01693706578008,0.9988258614562413
