image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,clean,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.0011446886446886447,True,,True,,0,43.1672786055567,0.9995304834881293
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,jpeg95,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.4426129426129426,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,43.1672786055567,0.9995304834881293
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,blur1,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.25022893772893773,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,43.1672786055567,0.9995304834881293
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,resize0.75,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.1739163614163614,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,43.1672786055567,0.9995304834881293
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,clean,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.003357753357753358,True,,True,,0,41.27067622570081,0.9996636847342861
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,jpeg95,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.4590964590964591,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,41.27067622570081,0.9996636847342861
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,blur1,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.24702380952380953,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,41.27067622570081,0.9996636847342861
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,resize0.75,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.17857142857142858,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,41.27067622570081,0.9996636847342861
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,clean,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.0004578754578754579,True,,True,,0,41.97990286432055,0.9994527350566396
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,jpeg95,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.43833943833943834,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,41.97990286432055,0.9994527350566396
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,blur1,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.24107142857142858,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,41.97990286432055,0.9994527350566396
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,resize0.75,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.16941391941391942,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,41.97990286432055,0.9994527350566396
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,0,clean,0.05,0.04998779296875,0.02227783203125,730,730,128,6,7,0.0027472527472527475,True,,True,,0,41.67808350142784,0.9995307516604934
