image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01661.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.002675840978593272,True,,True,,0,44.85071965415668,0.9997189715140666
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01662.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.00191131498470948,True,,True,,0,42.837799066607445,0.9997680275949816
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01663.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.002675840978593272,True,,True,,0,46.25910227756991,0.9997958737319279
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01664.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0061162079510703364,True,,True,,0,44.75650197570577,0.9997738206798359
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01665.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0030581039755351682,True,,True,,0,44.58472344552022,0.99984120015165
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00960.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.00191131498470948,True,,True,,0,47.807453380942974,0.9997047834706757
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00961.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.006498470948012232,True,,True,,0,46.2832070383211,0.9998152214499585
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00962.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0045871559633027525,True,,True,,0,43.16032452335965,0.9998526617226758
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00963.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0022935779816513763,True,,True,,0,44.26508583643076,0.9998333435007217
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00964.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0015290519877675841,True,,True,,0,45.97606440099361,0.9997811995285076
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00965.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.002675840978593272,True,,True,,0,42.776323123544564,0.9997174359075423
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00966.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0015290519877675841,True,,True,,0,44.946026658293775,0.999762909159107
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00967.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.00382262996941896,True,,True,,0,43.14783271277654,0.9997910754708013
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00968.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.009174311926605505,True,,True,,0,44.91598582521365,0.9997638577399989
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00969.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0389908256880734,True,,True,,0,43.16111931520013,0.9997686964436402
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00970.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.00191131498470948,True,,True,,0,44.601479432050326,0.9998569028599423
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00971.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0015290519877675841,True,,True,,0,42.582625603973405,0.9996175249764103
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00972.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.002675840978593272,True,,True,,0,43.776553315282015,0.9998313404657215
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00973.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0030581039755351682,True,,True,,0,45.19777918105702,0.9997778120384367
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00974.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.00382262996941896,True,,True,,0,43.281732354372274,0.9998091030372959
