image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0003509521484375,True,,True,,0,39.426609337744665,0.9988625317103336
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.473358154296875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,39.426609337744665,0.9988625317103336
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4949493408203125,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,39.426609337744665,0.9988625317103336
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,jpeg80,0.25,0.25,0.185546875,6080,6080,64,32,7,0.49676513671875,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,39.426609337744665,0.9988625317103336
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,blur1,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4147491455078125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,39.426609337744665,0.9988625317103336
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,resize0.75,0.25,0.25,0.185546875,6080,6080,64,32,7,0.232513427734375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,39.426609337744665,0.9988625317103336
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006561279296875,True,,True,,0,38.311423332495096,0.9993311534602572
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.47149658203125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,38.311423332495096,0.9993311534602572
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.49554443359375,False,RS decode failed in chunk 25: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 25: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,38.311423332495096,0.9993311534602572
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,jpeg80,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4972381591796875,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,38.311423332495096,0.9993311534602572
