image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
05_artifacts\data\security_gate\caltech20_diverse\accordion_test_01641.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.003061224489795918,True,,True,,0,43.127489219532144,0.9997052111717091
05_artifacts\data\security_gate\caltech20_diverse\airplanes_test_00491.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.22448979591836735,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,45.07017859165006,0.9997985586656942
05_artifacts\data\security_gate\caltech20_diverse\anchor_test_03484.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.0020408163265306124,True,,True,,0,42.88520174541381,0.9998208596114676
05_artifacts\data\security_gate\caltech20_diverse\ant_test_00086.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.004591836734693878,True,,True,,0,43.195033131036666,0.9994714101559432
05_artifacts\data\security_gate\caltech20_diverse\background_google_test_04580.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.001530612244897959,True,,True,,0,45.12061410024189,0.9998737112108986
05_artifacts\data\security_gate\caltech20_diverse\barrel_test_01752.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.0005102040816326531,True,,True,,0,46.420310683917776,0.9998923130520552
05_artifacts\data\security_gate\caltech20_diverse\bass_test_02362.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.012755102040816327,True,,True,,0,44.5668114967442,0.9998646285574606
05_artifacts\data\security_gate\caltech20_diverse\beaver_test_02447.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.0010204081632653062,True,,True,,0,45.311914751363275,0.9994821529038483
05_artifacts\data\security_gate\caltech20_diverse\binocular_test_03481.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.00510204081632653,True,,True,,0,44.35842886908577,0.9999044035490603
05_artifacts\data\security_gate\caltech20_diverse\bonsai_test_02476.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.003061224489795918,True,,True,,0,43.54424456567096,0.9997784958032212
05_artifacts\data\security_gate\caltech20_diverse\brain_test_03351.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.001530612244897959,True,,True,,0,47.29108042175187,0.9998872891711539
05_artifacts\data\security_gate\caltech20_diverse\brontosaurus_test_01437.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.053061224489795916,True,,True,,0,43.20981472824052,0.9997429250966116
05_artifacts\data\security_gate\caltech20_diverse\buddha_test_03501.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.015816326530612244,True,,True,,0,43.747784543158836,0.999871614220371
05_artifacts\data\security_gate\caltech20_diverse\butterfly_test_00098.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.005612244897959183,True,,True,,0,43.10487907799765,0.9998889547844204
05_artifacts\data\security_gate\caltech20_diverse\camera_test_01732.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.031122448979591835,True,,True,,0,43.979488479029,0.9998700538749096
05_artifacts\data\security_gate\caltech20_diverse\cannon_test_03468.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.0035714285714285713,True,,True,,0,43.26250633748259,0.999478543776324
05_artifacts\data\security_gate\caltech20_diverse\car_side_test_02744.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.0020408163265306124,True,,True,,0,47.02513887826767,0.9997902324840943
05_artifacts\data\security_gate\caltech20_diverse\ceiling_fan_test_02222.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.0010204081632653062,True,,True,,0,46.623696944461784,0.9995608393634764
05_artifacts\data\security_gate\caltech20_diverse\cellphone_test_01802.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.0005102040816326531,True,,True,,0,45.02734038659397,0.9998380968285081
05_artifacts\data\security_gate\caltech20_diverse\chair_test_02030.jpg,0,clean,0.0075,0.007476806640625,0.001953125,64,64,32,1,7,0.010714285714285714,True,,True,,0,42.490597672886715,0.9997259338904283
