image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
05_artifacts\data\security_gate\caltech20_diverse\accordion_test_01641.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0022935779816513763,True,,True,,0,43.0283469644852,0.9996988712325914
05_artifacts\data\security_gate\caltech20_diverse\airplanes_test_00491.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.10053516819571866,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,44.81694680840963,0.9997831044948942
05_artifacts\data\security_gate\caltech20_diverse\anchor_test_03484.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0022935779816513763,True,,True,,0,42.73915805114114,0.9998134114703096
05_artifacts\data\security_gate\caltech20_diverse\ant_test_00086.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0034403669724770644,True,,True,,0,43.06711381691186,0.9994578115590104
05_artifacts\data\security_gate\caltech20_diverse\background_google_test_04580.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0007645259938837921,True,,True,,0,44.82741811399279,0.9998628151736132
05_artifacts\data\security_gate\caltech20_diverse\barrel_test_01752.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.00191131498470948,True,,True,,0,46.06374044515632,0.9998816970892053
05_artifacts\data\security_gate\caltech20_diverse\bass_test_02362.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.005351681957186544,True,,True,,0,44.37228446878359,0.9998556181415723
05_artifacts\data\security_gate\caltech20_diverse\beaver_test_02447.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0011467889908256881,True,,True,,0,45.055165802811494,0.9994452093250844
05_artifacts\data\security_gate\caltech20_diverse\binocular_test_03481.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0011467889908256881,True,,True,,0,44.203599416512525,0.99990070035778
05_artifacts\data\security_gate\caltech20_diverse\bonsai_test_02476.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.004204892966360856,True,,True,,0,43.34772505200296,0.9997676973830902
05_artifacts\data\security_gate\caltech20_diverse\brain_test_03351.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0015290519877675841,True,,True,,0,46.9920481119578,0.9998791684514918
05_artifacts\data\security_gate\caltech20_diverse\brontosaurus_test_01437.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.020642201834862386,True,,True,,0,43.0384490407169,0.9997320911373293
05_artifacts\data\security_gate\caltech20_diverse\buddha_test_03501.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.009938837920489297,True,,True,,0,43.57144263483004,0.9998644591835524
05_artifacts\data\security_gate\caltech20_diverse\butterfly_test_00098.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.002675840978593272,True,,True,,0,42.98341249786002,0.9998855302081281
05_artifacts\data\security_gate\caltech20_diverse\camera_test_01732.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.022935779816513763,True,,True,,0,43.76417625273362,0.9998618752734336
05_artifacts\data\security_gate\caltech20_diverse\cannon_test_03468.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0022935779816513763,True,,True,,0,43.069837125106645,0.999455158951493
05_artifacts\data\security_gate\caltech20_diverse\car_side_test_02744.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0007645259938837921,True,,True,,0,46.62080179087543,0.9997668069084024
05_artifacts\data\security_gate\caltech20_diverse\ceiling_fan_test_02222.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0,True,,True,,0,46.32624892822899,0.9995008773774207
05_artifacts\data\security_gate\caltech20_diverse\cellphone_test_01802.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.0022935779816513763,True,,True,,0,44.80335788689939,0.9998287610668537
05_artifacts\data\security_gate\caltech20_diverse\chair_test_02030.jpg,0,clean,0.01,0.009979248046875,0.004852294921875,159,159,64,1,7,0.002675840978593272,True,,True,,0,42.36418429009844,0.9997172824336373
