image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<COCO_VAL2017_DIR>\000000001818.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0013885498046875,True,,True,,0,37.08302080221533,0.9992627504233477
<COCO_VAL2017_DIR>\000000001818.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.44317626953125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08302080221533,0.9992627504233477
<COCO_VAL2017_DIR>\000000001818.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4919586181640625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08302080221533,0.9992627504233477
<COCO_VAL2017_DIR>\000000001818.jpg,0,jpeg80,0.25,0.25,0.185546875,6080,6080,64,32,7,0.495819091796875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08302080221533,0.9992627504233477
<COCO_VAL2017_DIR>\000000001818.jpg,0,blur1,0.25,0.25,0.185546875,6080,6080,64,32,7,0.3976898193359375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08302080221533,0.9992627504233477
<COCO_VAL2017_DIR>\000000001818.jpg,0,resize0.75,0.25,0.25,0.185546875,6080,6080,64,32,7,0.210693359375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08302080221533,0.9992627504233477
<COCO_VAL2017_DIR>\000000001993.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0003509521484375,True,,True,,0,37.447163292930924,0.9989249200823217
<COCO_VAL2017_DIR>\000000001993.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.444061279296875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.447163292930924,0.9989249200823217
<COCO_VAL2017_DIR>\000000001993.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4927825927734375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.447163292930924,0.9989249200823217
<COCO_VAL2017_DIR>\000000001993.jpg,0,jpeg80,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4967193603515625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.447163292930924,0.9989249200823217
<COCO_VAL2017_DIR>\000000001993.jpg,0,blur1,0.25,0.25,0.185546875,6080,6080,64,32,7,0.3654937744140625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.447163292930924,0.9989249200823217
<COCO_VAL2017_DIR>\000000001993.jpg,0,resize0.75,0.25,0.25,0.185546875,6080,6080,64,32,7,0.195220947265625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.447163292930924,0.9989249200823217
<COCO_VAL2017_DIR>\000000002006.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0056915283203125,True,,True,,0,37.31019532285636,0.998167799060932
<COCO_VAL2017_DIR>\000000002006.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4441070556640625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.31019532285636,0.998167799060932
<COCO_VAL2017_DIR>\000000002006.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.48822021484375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.31019532285636,0.998167799060932
<COCO_VAL2017_DIR>\000000002006.jpg,0,jpeg80,0.25,0.25,0.185546875,6080,6080,64,32,7,0.49444580078125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.31019532285636,0.998167799060932
<COCO_VAL2017_DIR>\000000002006.jpg,0,blur1,0.25,0.25,0.185546875,6080,6080,64,32,7,0.3923797607421875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.31019532285636,0.998167799060932
<COCO_VAL2017_DIR>\000000002006.jpg,0,resize0.75,0.25,0.25,0.185546875,6080,6080,64,32,7,0.21575927734375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.31019532285636,0.998167799060932
<COCO_VAL2017_DIR>\000000002149.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000244140625,True,,True,,0,37.54113738577396,0.9987124267707838
<COCO_VAL2017_DIR>\000000002149.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4759368896484375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.54113738577396,0.9987124267707838
<COCO_VAL2017_DIR>\000000002149.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.49346923828125,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,37.54113738577396,0.9987124267707838
<COCO_VAL2017_DIR>\000000002149.jpg,0,jpeg80,0.25,0.25,0.185546875,6080,6080,64,32,7,0.493988037109375,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,37.54113738577396,0.9987124267707838
<COCO_VAL2017_DIR>\000000002149.jpg,0,blur1,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4293060302734375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.54113738577396,0.9987124267707838
<COCO_VAL2017_DIR>\000000002149.jpg,0,resize0.75,0.25,0.25,0.185546875,6080,6080,64,32,7,0.23284912109375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.54113738577396,0.9987124267707838
<COCO_VAL2017_DIR>\000000002153.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0040130615234375,True,,True,,0,37.85731624223703,0.9965195258522047
<COCO_VAL2017_DIR>\000000002153.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4625701904296875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.85731624223703,0.9965195258522047
<COCO_VAL2017_DIR>\000000002153.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.500823974609375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.85731624223703,0.9965195258522047
<COCO_VAL2017_DIR>\000000002153.jpg,0,jpeg80,0.25,0.25,0.185546875,6080,6080,64,32,7,0.5008697509765625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.85731624223703,0.9965195258522047
<COCO_VAL2017_DIR>\000000002153.jpg,0,blur1,0.25,0.25,0.185546875,6080,6080,64,32,7,0.3997955322265625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.85731624223703,0.9965195258522047
<COCO_VAL2017_DIR>\000000002153.jpg,0,resize0.75,0.25,0.25,0.185546875,6080,6080,64,32,7,0.2244720458984375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.85731624223703,0.9965195258522047
<COCO_VAL2017_DIR>\000000002157.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0025482177734375,True,,True,,0,37.245296860388684,0.9984955052448659
<COCO_VAL2017_DIR>\000000002157.jpg,0,jpeg95,0.25,0.25,0.185546875,6080,6080,64,32,7,0.451416015625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.245296860388684,0.9984955052448659
<COCO_VAL2017_DIR>\000000002157.jpg,0,jpeg90,0.25,0.25,0.185546875,6080,6080,64,32,7,0.4888153076171875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.245296860388684,0.9984955052448659
