image,group,kind,label,split,score
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01661.jpg,0,cover,0,test,0.0319979265332222
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01661.jpg,0,stego,1,test,0.9791802763938904
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01662.jpg,1,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01662.jpg,1,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01663.jpg,2,cover,0,test,0.03721176087856293
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01663.jpg,2,stego,1,test,0.9648751616477966
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01664.jpg,3,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01664.jpg,3,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01665.jpg,4,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01665.jpg,4,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00960.jpg,5,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00960.jpg,5,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00961.jpg,6,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00961.jpg,6,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00962.jpg,7,cover,0,test,0.00027437906828708947
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00962.jpg,7,stego,1,test,6.931355045480814e-09
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00963.jpg,8,cover,0,test,0.033485766500234604
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00963.jpg,8,stego,1,test,0.989463210105896
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00964.jpg,9,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00964.jpg,9,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00965.jpg,10,cover,0,test,0.0012132925912737846
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00965.jpg,10,stego,1,test,0.9435133337974548
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00966.jpg,11,cover,0,test,0.002219812013208866
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00966.jpg,11,stego,1,test,0.9798095226287842
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00967.jpg,12,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00967.jpg,12,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00968.jpg,13,cover,0,test,0.022864678874611855
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00968.jpg,13,stego,1,test,0.9178046584129333
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00969.jpg,14,cover,0,test,0.0013837076257914305
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00969.jpg,14,stego,1,test,0.8635000586509705
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00970.jpg,15,cover,0,test,0.00020690327801275998
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00970.jpg,15,stego,1,test,0.9961068034172058
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00971.jpg,16,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00971.jpg,16,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00972.jpg,17,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00972.jpg,17,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00973.jpg,18,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00973.jpg,18,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00974.jpg,19,cover,0,test,0.0015320429811254144
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00974.jpg,19,stego,1,test,0.26426267623901367
