image,group,kind,label,split,score
05_artifacts\data\security_gate\caltech20_diverse\accordion_test_01641.jpg,0,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\accordion_test_01641.jpg,0,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\airplanes_test_00491.jpg,1,cover,0,test,0.15741458535194397
05_artifacts\data\security_gate\caltech20_diverse\airplanes_test_00491.jpg,1,stego,1,test,0.1229579746723175
05_artifacts\data\security_gate\caltech20_diverse\anchor_test_03484.jpg,2,cover,0,test,0.9932994842529297
05_artifacts\data\security_gate\caltech20_diverse\anchor_test_03484.jpg,2,stego,1,test,0.9972551465034485
05_artifacts\data\security_gate\caltech20_diverse\ant_test_00086.jpg,3,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\ant_test_00086.jpg,3,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\background_google_test_04580.jpg,4,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\background_google_test_04580.jpg,4,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\barrel_test_01752.jpg,5,cover,0,test,0.5417748689651489
05_artifacts\data\security_gate\caltech20_diverse\barrel_test_01752.jpg,5,stego,1,test,0.5173121094703674
05_artifacts\data\security_gate\caltech20_diverse\bass_test_02362.jpg,6,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\bass_test_02362.jpg,6,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\beaver_test_02447.jpg,7,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\beaver_test_02447.jpg,7,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\binocular_test_03481.jpg,8,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\binocular_test_03481.jpg,8,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\bonsai_test_02476.jpg,9,cover,0,test,0.4212885797023773
05_artifacts\data\security_gate\caltech20_diverse\bonsai_test_02476.jpg,9,stego,1,test,0.4917295277118683
05_artifacts\data\security_gate\caltech20_diverse\brain_test_03351.jpg,10,cover,0,test,0.019719915464520454
05_artifacts\data\security_gate\caltech20_diverse\brain_test_03351.jpg,10,stego,1,test,0.9976897239685059
05_artifacts\data\security_gate\caltech20_diverse\brontosaurus_test_01437.jpg,11,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\brontosaurus_test_01437.jpg,11,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\buddha_test_03501.jpg,12,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\buddha_test_03501.jpg,12,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\butterfly_test_00098.jpg,13,cover,0,test,0.41285982728004456
05_artifacts\data\security_gate\caltech20_diverse\butterfly_test_00098.jpg,13,stego,1,test,1.0
05_artifacts\data\security_gate\caltech20_diverse\camera_test_01732.jpg,14,cover,0,test,0.5788145065307617
05_artifacts\data\security_gate\caltech20_diverse\camera_test_01732.jpg,14,stego,1,test,0.7879536151885986
05_artifacts\data\security_gate\caltech20_diverse\cannon_test_03468.jpg,15,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\cannon_test_03468.jpg,15,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\car_side_test_02744.jpg,16,cover,0,test,0.8998565673828125
05_artifacts\data\security_gate\caltech20_diverse\car_side_test_02744.jpg,16,stego,1,test,0.8944918513298035
05_artifacts\data\security_gate\caltech20_diverse\ceiling_fan_test_02222.jpg,17,cover,0,test,0.017113126814365387
05_artifacts\data\security_gate\caltech20_diverse\ceiling_fan_test_02222.jpg,17,stego,1,test,0.018398849293589592
05_artifacts\data\security_gate\caltech20_diverse\cellphone_test_01802.jpg,18,cover,0,train,
05_artifacts\data\security_gate\caltech20_diverse\cellphone_test_01802.jpg,18,stego,1,train,
05_artifacts\data\security_gate\caltech20_diverse\chair_test_02030.jpg,19,cover,0,test,0.10728774219751358
05_artifacts\data\security_gate\caltech20_diverse\chair_test_02030.jpg,19,stego,1,test,0.1998768448829651
