image,group,kind,label,split,score
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\10df7367edd3c11d.png,0,cover,0,test,0.3092276155948639
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\10df7367edd3c11d.png,0,stego,1,test,0.5243254899978638
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\17c739b51dcfcdd3.png,1,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\17c739b51dcfcdd3.png,1,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\20d1ab985e2a4390.png,2,cover,0,test,1.0
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\20d1ab985e2a4390.png,2,stego,1,test,1.0
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2341c7d483618948.png,3,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2341c7d483618948.png,3,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\26944ee8719aed15.png,4,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\26944ee8719aed15.png,4,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2aba4268d6a1b8df.png,5,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2aba4268d6a1b8df.png,5,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3665df2a9e452eaf.png,6,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3665df2a9e452eaf.png,6,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3dff6b4572875d85.png,7,cover,0,test,0.25894615054130554
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3dff6b4572875d85.png,7,stego,1,test,0.49879610538482666
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\48e02e31202989d3.png,8,cover,0,test,0.07516331225633621
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\48e02e31202989d3.png,8,stego,1,test,0.1678594946861267
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\67183260213b8f18.png,9,cover,0,train,
