image,group,kind,label,split,score
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01661.jpg,0,cover,0,test,0.9166932106018066
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01661.jpg,0,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01662.jpg,1,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01662.jpg,1,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01663.jpg,2,cover,0,test,8.731881884216364e-11
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01663.jpg,2,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01664.jpg,3,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01664.jpg,3,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01665.jpg,4,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01665.jpg,4,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00960.jpg,5,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00960.jpg,5,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00961.jpg,6,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00961.jpg,6,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00962.jpg,7,cover,0,test,1.6947026250569195e-16
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00962.jpg,7,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00963.jpg,8,cover,0,test,4.269480200491671e-07
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00963.jpg,8,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00964.jpg,9,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00964.jpg,9,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00965.jpg,10,cover,0,test,1.6254619940856692e-34
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00965.jpg,10,stego,1,test,1.3514739327646907e-10
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00966.jpg,11,cover,0,test,5.018387952370043e-24
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00966.jpg,11,stego,1,test,0.04118068143725395
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00967.jpg,12,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00967.jpg,12,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00968.jpg,13,cover,0,test,0.9999998807907104
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00968.jpg,13,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00969.jpg,14,cover,0,test,1.0365094199604741e-10
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00969.jpg,14,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00970.jpg,15,cover,0,test,0.9989058971405029
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00970.jpg,15,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00971.jpg,16,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00971.jpg,16,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00972.jpg,17,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00972.jpg,17,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00973.jpg,18,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00973.jpg,18,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00974.jpg,19,cover,0,test,1.1225657033493944e-28
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00974.jpg,19,stego,1,test,1.557038018518142e-07
