image,group,kind,label,split,score
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01661.jpg,0,cover,0,test,0.0014454431366175413
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01661.jpg,0,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01662.jpg,1,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01662.jpg,1,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01663.jpg,2,cover,0,test,8.469297768696719e-23
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01663.jpg,2,stego,1,test,1.6785882683834075e-09
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01664.jpg,3,cover,0,test,6.131946065579541e-06
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01664.jpg,3,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01665.jpg,4,cover,0,test,1.01180281930624e-08
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\test_01665.jpg,4,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00960.jpg,5,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00960.jpg,5,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00961.jpg,6,cover,0,test,2.6665590655590845e-23
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00961.jpg,6,stego,1,test,1.1849834264873738e-12
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00962.jpg,7,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00962.jpg,7,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00963.jpg,8,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00963.jpg,8,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00964.jpg,9,cover,0,test,1.2506949254031952e-08
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00964.jpg,9,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00965.jpg,10,cover,0,test,1.908855018495359e-11
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00965.jpg,10,stego,1,test,1.0
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00966.jpg,11,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00966.jpg,11,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00967.jpg,12,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00967.jpg,12,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00968.jpg,13,cover,0,test,1.3457309297158575e-20
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00968.jpg,13,stego,1,test,3.473911419860087e-05
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00969.jpg,14,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00969.jpg,14,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00970.jpg,15,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00970.jpg,15,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00971.jpg,16,cover,0,test,2.517674436985917e-12
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00971.jpg,16,stego,1,test,0.9999997615814209
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00972.jpg,17,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00972.jpg,17,stego,1,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00973.jpg,18,cover,0,test,6.500546628762649e-13
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00973.jpg,18,stego,1,test,0.9999316930770874
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00974.jpg,19,cover,0,train,
C:\Users\User\Documents\Articles\FHAM_HC_CIS_Tchamba\NARCIS\dataset_external\caltech101\images\accordion\train_00974.jpg,19,stego,1,train,
