image,group,kind,label,split,score
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\10df7367edd3c11d.png,0,cover,0,test,0.9999467134475708
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\10df7367edd3c11d.png,0,stego,1,test,1.0
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\17c739b51dcfcdd3.png,1,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\17c739b51dcfcdd3.png,1,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\20d1ab985e2a4390.png,2,cover,0,test,1.7885158740682527e-05
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\20d1ab985e2a4390.png,2,stego,1,test,0.09601129591464996
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2341c7d483618948.png,3,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2341c7d483618948.png,3,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\26944ee8719aed15.png,4,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\26944ee8719aed15.png,4,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2aba4268d6a1b8df.png,5,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\2aba4268d6a1b8df.png,5,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3665df2a9e452eaf.png,6,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3665df2a9e452eaf.png,6,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3dff6b4572875d85.png,7,cover,0,test,1.0
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\3dff6b4572875d85.png,7,stego,1,test,1.0
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\48e02e31202989d3.png,8,cover,0,test,0.01020122691988945
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\48e02e31202989d3.png,8,stego,1,test,0.10635724663734436
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\67183260213b8f18.png,9,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\67183260213b8f18.png,9,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\6e31869cfdabbae4.png,10,cover,0,test,0.2528567612171173
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\6e31869cfdabbae4.png,10,stego,1,test,0.9986805319786072
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\7faeb6dad2235e7b.png,11,cover,0,test,0.7661532163619995
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\7faeb6dad2235e7b.png,11,stego,1,test,0.9998562335968018
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\9d03a4e1ba3d37dd.png,12,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\9d03a4e1ba3d37dd.png,12,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\a1e702149e3ae159.png,13,cover,0,test,0.9273216128349304
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\a1e702149e3ae159.png,13,stego,1,test,0.9957489967346191
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\ac9b3744894f9b34.png,14,cover,0,test,0.9999706745147705
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\ac9b3744894f9b34.png,14,stego,1,test,1.0
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\b413ab0d83bf9090.png,15,cover,0,test,8.918630590992738e-12
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\b413ab0d83bf9090.png,15,stego,1,test,6.727706818310253e-07
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c03c6b572d5ff31b.png,16,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c03c6b572d5ff31b.png,16,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c96ae1db78f52287.png,17,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c96ae1db78f52287.png,17,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\de733604ceab295b.png,18,cover,0,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\de733604ceab295b.png,18,stego,1,train,
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\f663747f7d7d5888.png,19,cover,0,test,0.9999423027038574
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\f663747f7d7d5888.png,19,stego,1,test,1.0
