image,group,kind,label,split,score
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,cover,0,test,0.012707725167274475
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,stego,1,test,0.9972206354141235
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,cover,0,test,0.0010443148203194141
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,stego,1,test,0.9999682903289795
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,cover,0,test,0.00694196717813611
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,stego,1,test,0.920861005783081
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,cover,0,test,1.2023893880552805e-08
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,stego,1,test,0.9794906973838806
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,cover,0,test,0.9092105031013489
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,stego,1,test,0.9998923540115356
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,cover,0,test,0.010952414944767952
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,stego,1,test,0.9997358918190002
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,cover,0,test,0.08338110893964767
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,stego,1,test,0.998127281665802
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,cover,0,test,0.004637171048671007
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,stego,1,test,0.9766189455986023
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,cover,0,test,0.02799351140856743
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,stego,1,test,0.9984086155891418
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,cover,0,test,0.598627507686615
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,stego,1,test,0.9990265369415283
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,cover,0,test,0.04206511750817299
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,stego,1,test,0.7359446287155151
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,cover,0,test,0.9656006097793579
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,stego,1,test,0.9999979734420776
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,cover,0,test,8.18188491393812e-05
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,stego,1,test,0.9954450130462646
<CALTECH101_IMAGES_DIR>\accordion\train_00978.jpg,23,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00978.jpg,23,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00979.jpg,24,cover,0,test,7.257627203216543e-06
<CALTECH101_IMAGES_DIR>\accordion\train_00979.jpg,24,stego,1,test,0.9932945370674133
<CALTECH101_IMAGES_DIR>\accordion\train_00980.jpg,25,cover,0,test,0.02230212464928627
<CALTECH101_IMAGES_DIR>\accordion\train_00980.jpg,25,stego,1,test,0.9527907371520996
<CALTECH101_IMAGES_DIR>\accordion\train_00981.jpg,26,cover,0,test,3.001119466716773e-06
<CALTECH101_IMAGES_DIR>\accordion\train_00981.jpg,26,stego,1,test,0.9999880790710449
<CALTECH101_IMAGES_DIR>\accordion\train_00982.jpg,27,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00982.jpg,27,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00983.jpg,28,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00983.jpg,28,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00984.jpg,29,cover,0,test,0.06331570446491241
<CALTECH101_IMAGES_DIR>\accordion\train_00984.jpg,29,stego,1,test,0.9992924928665161
<CALTECH101_IMAGES_DIR>\accordion\train_00985.jpg,30,cover,0,test,0.001053077052347362
<CALTECH101_IMAGES_DIR>\accordion\train_00985.jpg,30,stego,1,test,0.9998917579650879
<CALTECH101_IMAGES_DIR>\accordion\train_00986.jpg,31,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00986.jpg,31,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00987.jpg,32,cover,0,test,0.013750853948295116
<CALTECH101_IMAGES_DIR>\accordion\train_00987.jpg,32,stego,1,test,0.9983972907066345
<CALTECH101_IMAGES_DIR>\accordion\train_00988.jpg,33,cover,0,test,0.0008858850924298167
<CALTECH101_IMAGES_DIR>\accordion\train_00988.jpg,33,stego,1,test,0.9986225366592407
<CALTECH101_IMAGES_DIR>\accordion\train_00989.jpg,34,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00989.jpg,34,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00491.jpg,35,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00491.jpg,35,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00492.jpg,36,cover,0,test,0.014082946814596653
<CALTECH101_IMAGES_DIR>\airplanes\test_00492.jpg,36,stego,1,test,0.9977533221244812
