image,group,kind,label,split,score
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,cover,0,test,0.013669462874531746
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,stego,1,test,0.9974129796028137
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,cover,0,test,0.0011689323000609875
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,stego,1,test,0.999968409538269
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,cover,0,test,0.007303271908313036
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,stego,1,test,0.9195666313171387
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,cover,0,test,1.5658679686225696e-08
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,stego,1,test,0.983934223651886
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,cover,0,test,0.8950044512748718
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,stego,1,test,0.9998694658279419
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,cover,0,test,0.011800541542470455
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,stego,1,test,0.9997194409370422
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,cover,0,test,0.08990659564733505
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,stego,1,test,0.9983388185501099
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,cover,0,test,0.004938575904816389
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,stego,1,test,0.9784581065177917
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,cover,0,test,0.029068470001220703
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,stego,1,test,0.9984170198440552
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,cover,0,test,0.5749809145927429
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,stego,1,test,0.9984815716743469
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,cover,0,test,0.04278062283992767
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,stego,1,test,0.7685748338699341
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,cover,0,test,0.9653663635253906
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,stego,1,test,0.9999980926513672
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,cover,0,test,8.991105278255418e-05
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,stego,1,test,0.9960148334503174
<CALTECH101_IMAGES_DIR>\accordion\train_00978.jpg,23,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00978.jpg,23,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00979.jpg,24,cover,0,test,8.349351446668152e-06
<CALTECH101_IMAGES_DIR>\accordion\train_00979.jpg,24,stego,1,test,0.9941914677619934
<CALTECH101_IMAGES_DIR>\accordion\train_00980.jpg,25,cover,0,test,0.024235300719738007
<CALTECH101_IMAGES_DIR>\accordion\train_00980.jpg,25,stego,1,test,0.959321141242981
<CALTECH101_IMAGES_DIR>\accordion\train_00981.jpg,26,cover,0,test,3.4499364574003266e-06
<CALTECH101_IMAGES_DIR>\accordion\train_00981.jpg,26,stego,1,test,0.9999889135360718
<CALTECH101_IMAGES_DIR>\accordion\train_00982.jpg,27,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00982.jpg,27,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00983.jpg,28,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00983.jpg,28,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00984.jpg,29,cover,0,test,0.06851128488779068
<CALTECH101_IMAGES_DIR>\accordion\train_00984.jpg,29,stego,1,test,0.9991795420646667
<CALTECH101_IMAGES_DIR>\accordion\train_00985.jpg,30,cover,0,test,0.0012226449325680733
<CALTECH101_IMAGES_DIR>\accordion\train_00985.jpg,30,stego,1,test,0.9999028444290161
<CALTECH101_IMAGES_DIR>\accordion\train_00986.jpg,31,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00986.jpg,31,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00987.jpg,32,cover,0,test,0.01446587685495615
<CALTECH101_IMAGES_DIR>\accordion\train_00987.jpg,32,stego,1,test,0.9983665347099304
