image,group,kind,label,split,score
<COCO_VAL2017_DIR>\000000001818.jpg,0,cover,0,test,0.11610190570354462
<COCO_VAL2017_DIR>\000000001818.jpg,0,stego,1,test,0.944857656955719
<COCO_VAL2017_DIR>\000000001993.jpg,1,cover,0,train,
<COCO_VAL2017_DIR>\000000001993.jpg,1,stego,1,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,cover,0,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,stego,1,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,cover,0,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,stego,1,train,
<COCO_VAL2017_DIR>\000000002153.jpg,4,cover,0,test,0.13094168901443481
<COCO_VAL2017_DIR>\000000002153.jpg,4,stego,1,test,0.820598840713501
<COCO_VAL2017_DIR>\000000002157.jpg,5,cover,0,test,0.3998425602912903
<COCO_VAL2017_DIR>\000000002157.jpg,5,stego,1,test,0.97988361120224
<COCO_VAL2017_DIR>\000000002261.jpg,6,cover,0,train,
<COCO_VAL2017_DIR>\000000002261.jpg,6,stego,1,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,cover,0,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,stego,1,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,cover,0,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,stego,1,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,cover,0,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,stego,1,train,
<COCO_VAL2017_DIR>\000000002532.jpg,10,cover,0,test,0.45083707571029663
<COCO_VAL2017_DIR>\000000002532.jpg,10,stego,1,test,0.9489944577217102
<COCO_VAL2017_DIR>\000000002587.jpg,11,cover,0,train,
<COCO_VAL2017_DIR>\000000002587.jpg,11,stego,1,train,
<COCO_VAL2017_DIR>\000000002592.jpg,12,cover,0,test,0.00019718671683222055
<COCO_VAL2017_DIR>\000000002592.jpg,12,stego,1,test,0.8453453779220581
<COCO_VAL2017_DIR>\000000002685.jpg,13,cover,0,test,0.07570842653512955
<COCO_VAL2017_DIR>\000000002685.jpg,13,stego,1,test,0.6774505376815796
<COCO_VAL2017_DIR>\000000002923.jpg,14,cover,0,test,0.20597045123577118
<COCO_VAL2017_DIR>\000000002923.jpg,14,stego,1,test,0.9608230590820312
<COCO_VAL2017_DIR>\000000003156.jpg,15,cover,0,test,0.07643311470746994
