image,group,kind,label,split,score
<COCO_VAL2017_DIR>\000000001818.jpg,0,cover,0,test,0.04977341368794441
<COCO_VAL2017_DIR>\000000001818.jpg,0,stego,1,test,0.98460453748703
<COCO_VAL2017_DIR>\000000001993.jpg,1,cover,0,test,0.4402737617492676
<COCO_VAL2017_DIR>\000000001993.jpg,1,stego,1,test,0.9038878679275513
<COCO_VAL2017_DIR>\000000002006.jpg,2,cover,0,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,stego,1,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,cover,0,test,0.007666662335395813
<COCO_VAL2017_DIR>\000000002149.jpg,3,stego,1,test,0.22525614500045776
<COCO_VAL2017_DIR>\000000002153.jpg,4,cover,0,train,
<COCO_VAL2017_DIR>\000000002153.jpg,4,stego,1,train,
<COCO_VAL2017_DIR>\000000002157.jpg,5,cover,0,test,0.3439101278781891
<COCO_VAL2017_DIR>\000000002157.jpg,5,stego,1,test,0.8937227725982666
<COCO_VAL2017_DIR>\000000002261.jpg,6,cover,0,train,
<COCO_VAL2017_DIR>\000000002261.jpg,6,stego,1,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,cover,0,test,0.16329851746559143
<COCO_VAL2017_DIR>\000000002299.jpg,7,stego,1,test,0.17898954451084137
<COCO_VAL2017_DIR>\000000002431.jpg,8,cover,0,test,0.20028716325759888
<COCO_VAL2017_DIR>\000000002431.jpg,8,stego,1,test,0.7718616724014282
<COCO_VAL2017_DIR>\000000002473.jpg,9,cover,0,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,stego,1,train,
<COCO_VAL2017_DIR>\000000002532.jpg,10,cover,0,test,0.3634342551231384
<COCO_VAL2017_DIR>\000000002532.jpg,10,stego,1,test,0.9367350935935974
<COCO_VAL2017_DIR>\000000002587.jpg,11,cover,0,train,
<COCO_VAL2017_DIR>\000000002587.jpg,11,stego,1,train,
<COCO_VAL2017_DIR>\000000002592.jpg,12,cover,0,train,
<COCO_VAL2017_DIR>\000000002592.jpg,12,stego,1,train,
<COCO_VAL2017_DIR>\000000002685.jpg,13,cover,0,train,
<COCO_VAL2017_DIR>\000000002685.jpg,13,stego,1,train,
<COCO_VAL2017_DIR>\000000002923.jpg,14,cover,0,test,0.37395843863487244
<COCO_VAL2017_DIR>\000000002923.jpg,14,stego,1,test,0.9736437797546387
<COCO_VAL2017_DIR>\000000003156.jpg,15,cover,0,train,
<COCO_VAL2017_DIR>\000000003156.jpg,15,stego,1,train,
<COCO_VAL2017_DIR>\000000003255.jpg,16,cover,0,train,
<COCO_VAL2017_DIR>\000000003255.jpg,16,stego,1,train,
<COCO_VAL2017_DIR>\000000003501.jpg,17,cover,0,train,
<COCO_VAL2017_DIR>\000000003501.jpg,17,stego,1,train,
<COCO_VAL2017_DIR>\000000003553.jpg,18,cover,0,test,0.04924609884619713
<COCO_VAL2017_DIR>\000000003553.jpg,18,stego,1,test,0.992856502532959
<COCO_VAL2017_DIR>\000000003661.jpg,19,cover,0,test,0.1754644215106964
<COCO_VAL2017_DIR>\000000003661.jpg,19,stego,1,test,0.9042500853538513
<COCO_VAL2017_DIR>\000000003845.jpg,20,cover,0,test,0.4693070352077484
<COCO_VAL2017_DIR>\000000003845.jpg,20,stego,1,test,0.9956579208374023
