image,trial,attack,payload_bpp,useful_bits,useful_ber
05_artifacts\data\sample_images\000000001503.jpg,0,clean,0.25,65536,0.00103759765625
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg95,0.25,65536,0.4539794921875
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg90,0.25,65536,0.496917724609375
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg80,0.25,65536,0.4987335205078125
05_artifacts\data\sample_images\000000001503.jpg,0,noise2,0.25,65536,0.0215301513671875
05_artifacts\data\sample_images\000000001503.jpg,0,blur1,0.25,65536,0.2095489501953125
05_artifacts\data\sample_images\000000001503.jpg,0,resize0.75,0.25,65536,0.1796112060546875
05_artifacts\data\sample_images\000000001503.jpg,1,clean,0.25,65536,0.0010833740234375
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg95,0.25,65536,0.448089599609375
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg90,0.25,65536,0.4898834228515625
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg80,0.25,65536,0.4954071044921875
05_artifacts\data\sample_images\000000001503.jpg,1,noise2,0.25,65536,0.0214691162109375
05_artifacts\data\sample_images\000000001503.jpg,1,blur1,0.25,65536,0.2105712890625
05_artifacts\data\sample_images\000000001503.jpg,1,resize0.75,0.25,65536,0.178436279296875
05_artifacts\data\sample_images\dog_0031.jpg,0,clean,0.25,65536,0.0005950927734375
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg95,0.25,65536,0.45166015625
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg90,0.25,65536,0.492034912109375
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg80,0.25,65536,0.4965057373046875
05_artifacts\data\sample_images\dog_0031.jpg,0,noise2,0.25,65536,0.0185089111328125
05_artifacts\data\sample_images\dog_0031.jpg,0,blur1,0.25,65536,0.2295379638671875
05_artifacts\data\sample_images\dog_0031.jpg,0,resize0.75,0.25,65536,0.177886962890625
05_artifacts\data\sample_images\dog_0031.jpg,1,clean,0.25,65536,0.00091552734375
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg95,0.25,65536,0.4435272216796875
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg90,0.25,65536,0.490936279296875
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg80,0.25,65536,0.495208740234375
05_artifacts\data\sample_images\dog_0031.jpg,1,noise2,0.25,65536,0.017303466796875
05_artifacts\data\sample_images\dog_0031.jpg,1,blur1,0.25,65536,0.2334136962890625
05_artifacts\data\sample_images\dog_0031.jpg,1,resize0.75,0.25,65536,0.178680419921875
