image,trial,attack,payload_bpp,useful_bits,useful_ber
05_artifacts\data\sample_images\000000001503.jpg,0,clean,0.25,65536,0.0025482177734375
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg95,0.25,65536,0.4951629638671875
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg90,0.25,65536,0.495574951171875
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg80,0.25,65536,0.501251220703125
05_artifacts\data\sample_images\000000001503.jpg,0,noise2,0.25,65536,0.071990966796875
05_artifacts\data\sample_images\000000001503.jpg,0,blur1,0.25,65536,0.19720458984375
05_artifacts\data\sample_images\000000001503.jpg,0,resize0.75,0.25,65536,0.1963348388671875
05_artifacts\data\sample_images\000000001503.jpg,1,clean,0.25,65536,0.002655029296875
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg95,0.25,65536,0.4874267578125
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg90,0.25,65536,0.4914093017578125
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg80,0.25,65536,0.499969482421875
05_artifacts\data\sample_images\000000001503.jpg,1,noise2,0.25,65536,0.0716552734375
05_artifacts\data\sample_images\000000001503.jpg,1,blur1,0.25,65536,0.1971282958984375
05_artifacts\data\sample_images\000000001503.jpg,1,resize0.75,0.25,65536,0.1944732666015625
05_artifacts\data\sample_images\dog_0031.jpg,0,clean,0.25,65536,0.002960205078125
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg95,0.25,65536,0.484771728515625
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg90,0.25,65536,0.4952392578125
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg80,0.25,65536,0.4965057373046875
05_artifacts\data\sample_images\dog_0031.jpg,0,noise2,0.25,65536,0.0676727294921875
05_artifacts\data\sample_images\dog_0031.jpg,0,blur1,0.25,65536,0.244415283203125
05_artifacts\data\sample_images\dog_0031.jpg,0,resize0.75,0.25,65536,0.2001495361328125
05_artifacts\data\sample_images\dog_0031.jpg,1,clean,0.25,65536,0.0026092529296875
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg95,0.25,65536,0.4857025146484375
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg90,0.25,65536,0.4950103759765625
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg80,0.25,65536,0.496673583984375
05_artifacts\data\sample_images\dog_0031.jpg,1,noise2,0.25,65536,0.0665130615234375
05_artifacts\data\sample_images\dog_0031.jpg,1,blur1,0.25,65536,0.246612548828125
05_artifacts\data\sample_images\dog_0031.jpg,1,resize0.75,0.25,65536,0.20001220703125
