image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0003204345703125,True,,True,,0,39.38065340330884,0.9988373599226565
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000640869140625,True,,True,,0,38.23844604724958,0.9993160837397443
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000213623046875,True,,True,,0,39.557179834697834,0.9990295346860606
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0014190673828125,True,,True,,0,38.42154786216176,0.9989835986260076
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006561279296875,True,,True,,0,38.61050018887077,0.9993863393310319
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0001373291015625,True,,True,,0,39.76431347231535,0.9979641733502762
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.002105712890625,True,,True,,0,39.566717214196544,0.9990407777609297
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000518798828125,True,,True,,0,37.89664387007636,0.999453255723701
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006256103515625,True,,True,,0,38.53501522421959,0.9993300425874148
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0002899169921875,True,,True,,0,39.41700459150014,0.9990022541284309
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0016632080078125,True,,True,,0,38.04387207187546,0.9991529989181026
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000335693359375,True,,True,,0,39.27694245000898,0.9990884435523399
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000579833984375,True,,True,,0,38.42162285245131,0.9993459603155175
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000762939453125,True,,True,,0,39.60036000373904,0.9990993099089434
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00323486328125,True,,True,,0,38.12276941328597,0.9992316062264254
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00079345703125,True,,True,,0,39.11798349453635,0.9994827850160984
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000946044921875,True,,True,,0,38.30755587441378,0.9990186325307687
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006103515625,True,,True,,0,38.42133411741824,0.9994264982268577
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0007171630859375,True,,True,,0,38.9671698813701,0.9990454372118264
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00177001953125,True,,True,,0,38.36803924432333,0.9994129092719903
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0005950927734375,True,,True,,0,39.267492678247805,0.9992695288563644
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0009307861328125,True,,True,,0,38.10972526610312,0.9992252231470113
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0003662109375,True,,True,,0,39.03054360125131,0.9994922722888826
