image,group,kind,label,split,score
<COCO_VAL2017_DIR>\000000001818.jpg,0,cover,0,test,0.0067410641349852085
<COCO_VAL2017_DIR>\000000001818.jpg,0,stego,1,test,0.8398904800415039
<COCO_VAL2017_DIR>\000000001993.jpg,1,cover,0,train,
<COCO_VAL2017_DIR>\000000001993.jpg,1,stego,1,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,cover,0,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,stego,1,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,cover,0,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,stego,1,train,
<COCO_VAL2017_DIR>\000000002153.jpg,4,cover,0,test,0.15619489550590515
<COCO_VAL2017_DIR>\000000002153.jpg,4,stego,1,test,0.9179257750511169
<COCO_VAL2017_DIR>\000000002157.jpg,5,cover,0,test,0.07762342691421509
<COCO_VAL2017_DIR>\000000002157.jpg,5,stego,1,test,0.8964351415634155
<COCO_VAL2017_DIR>\000000002261.jpg,6,cover,0,train,
<COCO_VAL2017_DIR>\000000002261.jpg,6,stego,1,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,cover,0,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,stego,1,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,cover,0,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,stego,1,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,cover,0,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,stego,1,train,
<COCO_VAL2017_DIR>\000000002532.jpg,10,cover,0,test,0.1704646497964859
<COCO_VAL2017_DIR>\000000002532.jpg,10,stego,1,test,0.8516510725021362
<COCO_VAL2017_DIR>\000000002587.jpg,11,cover,0,train,
<COCO_VAL2017_DIR>\000000002587.jpg,11,stego,1,train,
<COCO_VAL2017_DIR>\000000002592.jpg,12,cover,0,test,3.072973049711436e-05
<COCO_VAL2017_DIR>\000000002592.jpg,12,stego,1,test,0.015312083065509796
<COCO_VAL2017_DIR>\000000002685.jpg,13,cover,0,test,0.08703073114156723
<COCO_VAL2017_DIR>\000000002685.jpg,13,stego,1,test,0.7951658964157104
<COCO_VAL2017_DIR>\000000002923.jpg,14,cover,0,test,0.28158414363861084
<COCO_VAL2017_DIR>\000000002923.jpg,14,stego,1,test,0.9650605320930481
<COCO_VAL2017_DIR>\000000003156.jpg,15,cover,0,test,0.04821518063545227
<COCO_VAL2017_DIR>\000000003156.jpg,15,stego,1,test,0.9642602205276489
