image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0012359619140625,True,,True,,0,40.802178438301944,0.9992119306645278
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.002044677734375,True,,True,,0,40.303438126134964,0.9995801128731875
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000732421875,True,,True,,0,41.28414042088211,0.9993539440308906
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0043182373046875,True,,True,,0,40.2992526365843,0.9993544699737045
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0016326904296875,True,,True,,0,40.802847606627054,0.9996288829924821
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000457763671875,True,,True,,0,41.783695649316435,0.9987473621842194
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00531005859375,True,,True,,0,41.220317250984515,0.9993664016559681
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0015869140625,True,,True,,0,40.16208427887843,0.9996846910407107
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00146484375,True,,True,,0,40.63473558566094,0.9995981233669161
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000640869140625,True,,True,,0,41.1109307368475,0.9993290061996863
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0037994384765625,True,,True,,0,40.03899018518979,0.9994689339747874
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.001068115234375,True,,True,,0,41.02015024002658,0.9994007206848023
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0016937255859375,True,,True,,0,40.401231584540874,0.9995950019432996
