image,group,kind,label,split,score
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,cover,0,test,0.7485081553459167
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,stego,1,test,0.9934146404266357
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,cover,0,test,0.012239684350788593
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,stego,1,test,0.7535796761512756
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,cover,0,test,1.888539372885134e-05
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,stego,1,test,0.006136253941804171
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,cover,0,test,0.3438369035720825
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,stego,1,test,0.9986053109169006
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,cover,0,test,0.632068395614624
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,stego,1,test,0.9968834519386292
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,cover,0,test,0.09313973784446716
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,stego,1,test,0.8575301170349121
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,cover,0,test,0.27039235830307007
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,stego,1,test,0.9991968274116516
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,cover,0,test,0.012301533482968807
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,stego,1,test,0.9903222918510437
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,cover,0,test,0.14904937148094177
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,stego,1,test,0.9958771467208862
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,cover,0,test,0.1961488574743271
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,stego,1,test,0.9773603677749634
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,cover,0,test,0.06483067572116852
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,stego,1,test,0.9822326898574829
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,cover,0,test,0.9870272278785706
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,stego,1,test,0.9936763644218445
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,cover,0,test,0.012856259942054749
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,stego,1,test,0.9837347269058228
<CALTECH101_IMAGES_DIR>\accordion\train_00978.jpg,23,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00978.jpg,23,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00979.jpg,24,cover,0,test,0.021679328754544258
<CALTECH101_IMAGES_DIR>\accordion\train_00979.jpg,24,stego,1,test,0.9453330039978027
<CALTECH101_IMAGES_DIR>\accordion\train_00980.jpg,25,cover,0,test,0.44711676239967346
<CALTECH101_IMAGES_DIR>\accordion\train_00980.jpg,25,stego,1,test,0.9945728182792664
<CALTECH101_IMAGES_DIR>\accordion\train_00981.jpg,26,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00981.jpg,26,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00982.jpg,27,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00982.jpg,27,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00983.jpg,28,cover,0,test,0.0003519488964229822
<CALTECH101_IMAGES_DIR>\accordion\train_00983.jpg,28,stego,1,test,0.2665899395942688
<CALTECH101_IMAGES_DIR>\accordion\train_00984.jpg,29,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00984.jpg,29,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00985.jpg,30,cover,0,test,0.1962045431137085
<CALTECH101_IMAGES_DIR>\accordion\train_00985.jpg,30,stego,1,test,0.9994950294494629
<CALTECH101_IMAGES_DIR>\accordion\train_00986.jpg,31,cover,0,test,0.6618652939796448
<CALTECH101_IMAGES_DIR>\accordion\train_00986.jpg,31,stego,1,test,0.9954463839530945
<CALTECH101_IMAGES_DIR>\accordion\train_00987.jpg,32,cover,0,test,0.5679711103439331
<CALTECH101_IMAGES_DIR>\accordion\train_00987.jpg,32,stego,1,test,0.9995272159576416
<CALTECH101_IMAGES_DIR>\accordion\train_00988.jpg,33,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00988.jpg,33,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00989.jpg,34,cover,0,test,0.2393876612186432
<CALTECH101_IMAGES_DIR>\accordion\train_00989.jpg,34,stego,1,test,0.9973279237747192
<CALTECH101_IMAGES_DIR>\airplanes\test_00491.jpg,35,cover,0,test,0.19775453209877014
<CALTECH101_IMAGES_DIR>\airplanes\test_00491.jpg,35,stego,1,test,0.9944571256637573
<CALTECH101_IMAGES_DIR>\airplanes\test_00492.jpg,36,cover,0,test,0.10526768863201141
<CALTECH101_IMAGES_DIR>\airplanes\test_00492.jpg,36,stego,1,test,0.995711088180542
<CALTECH101_IMAGES_DIR>\airplanes\test_00493.jpg,37,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00493.jpg,37,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00494.jpg,38,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00494.jpg,38,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00495.jpg,39,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00495.jpg,39,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00496.jpg,40,cover,0,test,0.002659326186403632
<CALTECH101_IMAGES_DIR>\airplanes\test_00496.jpg,40,stego,1,test,0.9820097088813782
<CALTECH101_IMAGES_DIR>\airplanes\test_00497.jpg,41,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00497.jpg,41,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00498.jpg,42,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00498.jpg,42,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00499.jpg,43,cover,0,test,0.16533538699150085
<CALTECH101_IMAGES_DIR>\airplanes\test_00499.jpg,43,stego,1,test,0.9692783951759338
<CALTECH101_IMAGES_DIR>\airplanes\test_00500.jpg,44,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00500.jpg,44,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00501.jpg,45,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00501.jpg,45,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00502.jpg,46,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00502.jpg,46,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00503.jpg,47,cover,0,test,0.014963334426283836
<CALTECH101_IMAGES_DIR>\airplanes\test_00503.jpg,47,stego,1,test,0.939646303653717
<CALTECH101_IMAGES_DIR>\airplanes\test_00504.jpg,48,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00504.jpg,48,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00505.jpg,49,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00505.jpg,49,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00506.jpg,50,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00506.jpg,50,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00507.jpg,51,cover,0,test,1.7354467862773504e-09
<CALTECH101_IMAGES_DIR>\airplanes\test_00507.jpg,51,stego,1,test,0.000581211585085839
<CALTECH101_IMAGES_DIR>\airplanes\test_00508.jpg,52,cover,0,test,0.015005413442850113
<CALTECH101_IMAGES_DIR>\airplanes\test_00508.jpg,52,stego,1,test,0.9532069563865662
<CALTECH101_IMAGES_DIR>\airplanes\test_00509.jpg,53,cover,0,test,0.03166768699884415
<CALTECH101_IMAGES_DIR>\airplanes\test_00509.jpg,53,stego,1,test,0.9900194406509399
<CALTECH101_IMAGES_DIR>\airplanes\test_00510.jpg,54,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00510.jpg,54,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00511.jpg,55,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00511.jpg,55,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00512.jpg,56,cover,0,test,0.013416661880910397
<CALTECH101_IMAGES_DIR>\airplanes\test_00512.jpg,56,stego,1,test,0.9566340446472168
<CALTECH101_IMAGES_DIR>\airplanes\test_00513.jpg,57,cover,0,test,1.1506633420344517e-38
<CALTECH101_IMAGES_DIR>\airplanes\test_00513.jpg,57,stego,1,test,0.07217603921890259
<CALTECH101_IMAGES_DIR>\airplanes\test_00514.jpg,58,cover,0,test,0.010488773696124554
<CALTECH101_IMAGES_DIR>\airplanes\test_00514.jpg,58,stego,1,test,0.9880335330963135
<CALTECH101_IMAGES_DIR>\airplanes\test_00515.jpg,59,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00515.jpg,59,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00516.jpg,60,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00516.jpg,60,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00517.jpg,61,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00517.jpg,61,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00518.jpg,62,cover,0,test,0.0053893146105110645
<CALTECH101_IMAGES_DIR>\airplanes\test_00518.jpg,62,stego,1,test,0.7151385545730591
<CALTECH101_IMAGES_DIR>\airplanes\test_00519.jpg,63,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00519.jpg,63,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00520.jpg,64,cover,0,test,0.03984642028808594
<CALTECH101_IMAGES_DIR>\airplanes\test_00520.jpg,64,stego,1,test,0.9961127638816833
<CALTECH101_IMAGES_DIR>\airplanes\test_00521.jpg,65,cover,0,test,0.0027789128944277763
<CALTECH101_IMAGES_DIR>\airplanes\test_00521.jpg,65,stego,1,test,0.957101047039032
<CALTECH101_IMAGES_DIR>\airplanes\test_00522.jpg,66,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00522.jpg,66,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00523.jpg,67,cover,0,test,0.0002828294818755239
<CALTECH101_IMAGES_DIR>\airplanes\test_00523.jpg,67,stego,1,test,0.9638956189155579
<CALTECH101_IMAGES_DIR>\airplanes\test_00524.jpg,68,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00524.jpg,68,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00525.jpg,69,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00525.jpg,69,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00526.jpg,70,cover,0,test,0.0648827999830246
<CALTECH101_IMAGES_DIR>\airplanes\test_00526.jpg,70,stego,1,test,0.9932960867881775
<CALTECH101_IMAGES_DIR>\airplanes\test_00527.jpg,71,cover,0,test,0.004382010083645582
<CALTECH101_IMAGES_DIR>\airplanes\test_00527.jpg,71,stego,1,test,0.9747052788734436
<CALTECH101_IMAGES_DIR>\airplanes\test_00528.jpg,72,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00528.jpg,72,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00529.jpg,73,cover,0,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00529.jpg,73,stego,1,train,
<CALTECH101_IMAGES_DIR>\airplanes\test_00530.jpg,74,cover,0,test,0.01355848740786314
<CALTECH101_IMAGES_DIR>\airplanes\test_00530.jpg,74,stego,1,test,0.9919553399085999
<CALTECH101_IMAGES_DIR>\airplanes\test_00531.jpg,75,cover,0,test,0.020196296274662018
<CALTECH101_IMAGES_DIR>\airplanes\test_00531.jpg,75,stego,1,test,0.9986444115638733
