image,group,kind,label,split,score
<COCO_VAL2017_DIR>\000000001818.jpg,0,cover,0,test,0.009375954046845436
<COCO_VAL2017_DIR>\000000001818.jpg,0,stego,1,test,0.7278934717178345
<COCO_VAL2017_DIR>\000000001993.jpg,1,cover,0,train,
<COCO_VAL2017_DIR>\000000001993.jpg,1,stego,1,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,cover,0,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,stego,1,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,cover,0,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,stego,1,train,
<COCO_VAL2017_DIR>\000000002153.jpg,4,cover,0,test,0.1593066304922104
<COCO_VAL2017_DIR>\000000002153.jpg,4,stego,1,test,0.8881636261940002
<COCO_VAL2017_DIR>\000000002157.jpg,5,cover,0,test,0.1838395744562149
<COCO_VAL2017_DIR>\000000002157.jpg,5,stego,1,test,0.981977641582489
<COCO_VAL2017_DIR>\000000002261.jpg,6,cover,0,train,
<COCO_VAL2017_DIR>\000000002261.jpg,6,stego,1,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,cover,0,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,stego,1,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,cover,0,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,stego,1,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,cover,0,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,stego,1,train,
<COCO_VAL2017_DIR>\000000002532.jpg,10,cover,0,test,0.27531376481056213
<COCO_VAL2017_DIR>\000000002532.jpg,10,stego,1,test,0.9879286885261536
<COCO_VAL2017_DIR>\000000002587.jpg,11,cover,0,train,
<COCO_VAL2017_DIR>\000000002587.jpg,11,stego,1,train,
<COCO_VAL2017_DIR>\000000002592.jpg,12,cover,0,test,2.862069550246815e-06
<COCO_VAL2017_DIR>\000000002592.jpg,12,stego,1,test,0.008208404295146465
<COCO_VAL2017_DIR>\000000002685.jpg,13,cover,0,test,0.09147484600543976
<COCO_VAL2017_DIR>\000000002685.jpg,13,stego,1,test,0.8302643895149231
<COCO_VAL2017_DIR>\000000002923.jpg,14,cover,0,test,0.2965378761291504
<COCO_VAL2017_DIR>\000000002923.jpg,14,stego,1,test,0.985445499420166
<COCO_VAL2017_DIR>\000000003156.jpg,15,cover,0,test,0.05092199891805649
<COCO_VAL2017_DIR>\000000003156.jpg,15,stego,1,test,0.970983624458313
<COCO_VAL2017_DIR>\000000003255.jpg,16,cover,0,test,0.001888840808533132
<COCO_VAL2017_DIR>\000000003255.jpg,16,stego,1,test,0.46229347586631775
<COCO_VAL2017_DIR>\000000003501.jpg,17,cover,0,train,
<COCO_VAL2017_DIR>\000000003501.jpg,17,stego,1,train,
<COCO_VAL2017_DIR>\000000003553.jpg,18,cover,0,test,0.0433167964220047
<COCO_VAL2017_DIR>\000000003553.jpg,18,stego,1,test,0.9841501116752625
<COCO_VAL2017_DIR>\000000003661.jpg,19,cover,0,train,
<COCO_VAL2017_DIR>\000000003661.jpg,19,stego,1,train,
<COCO_VAL2017_DIR>\000000003845.jpg,20,cover,0,test,0.9306437969207764
<COCO_VAL2017_DIR>\000000003845.jpg,20,stego,1,test,0.9993884563446045
<COCO_VAL2017_DIR>\000000003934.jpg,21,cover,0,test,0.16397948563098907
