image,group,kind,label,split,score
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,cover,0,test,0.005878671538084745
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,stego,1,test,0.9996076226234436
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,1,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,2,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,3,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,cover,0,test,0.00028786418261006474
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,4,stego,1,test,0.9811367392539978
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,cover,0,test,8.477620515312534e-12
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,5,stego,1,test,0.9938254356384277
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,6,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,7,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,8,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,9,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,cover,0,test,0.05504250526428223
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,10,stego,1,test,0.9997517466545105
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,11,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,cover,0,test,0.018198959529399872
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,12,stego,1,test,0.9999992847442627
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,cover,0,test,7.542903767898679e-05
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,13,stego,1,test,0.9768878221511841
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,cover,0,test,0.00032277448917739093
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,14,stego,1,test,0.9778623580932617
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,cover,0,test,8.619434943568649e-09
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,15,stego,1,test,0.9947602152824402
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,cover,0,test,0.006863475777208805
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,16,stego,1,test,0.9996945858001709
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,17,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,cover,0,test,0.008390452712774277
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,18,stego,1,test,0.9996293783187866
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,cover,0,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,19,stego,1,train,
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,cover,0,test,0.009102684445679188
<CALTECH101_IMAGES_DIR>\accordion\train_00975.jpg,20,stego,1,test,0.274567574262619
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,cover,0,test,0.9974198341369629
<CALTECH101_IMAGES_DIR>\accordion\train_00976.jpg,21,stego,1,test,1.0
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,cover,0,test,3.6481387724052183e-06
<CALTECH101_IMAGES_DIR>\accordion\train_00977.jpg,22,stego,1,test,0.9989545345306396
<CALTECH101_IMAGES_DIR>\accordion\train_00978.jpg,23,cover,0,train,
