image,group,kind,label,split,score
<COCO_VAL2017_DIR>\000000001818.jpg,0,cover,0,test,0.11462297290563583
<COCO_VAL2017_DIR>\000000001818.jpg,0,stego,1,test,0.9260880351066589
<COCO_VAL2017_DIR>\000000001993.jpg,1,cover,0,train,
<COCO_VAL2017_DIR>\000000001993.jpg,1,stego,1,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,cover,0,train,
<COCO_VAL2017_DIR>\000000002006.jpg,2,stego,1,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,cover,0,train,
<COCO_VAL2017_DIR>\000000002149.jpg,3,stego,1,train,
<COCO_VAL2017_DIR>\000000002153.jpg,4,cover,0,test,0.10794615745544434
<COCO_VAL2017_DIR>\000000002153.jpg,4,stego,1,test,0.8229175806045532
<COCO_VAL2017_DIR>\000000002157.jpg,5,cover,0,test,0.4259353280067444
<COCO_VAL2017_DIR>\000000002157.jpg,5,stego,1,test,0.9874556064605713
<COCO_VAL2017_DIR>\000000002261.jpg,6,cover,0,train,
<COCO_VAL2017_DIR>\000000002261.jpg,6,stego,1,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,cover,0,train,
<COCO_VAL2017_DIR>\000000002299.jpg,7,stego,1,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,cover,0,train,
<COCO_VAL2017_DIR>\000000002431.jpg,8,stego,1,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,cover,0,train,
<COCO_VAL2017_DIR>\000000002473.jpg,9,stego,1,train,
<COCO_VAL2017_DIR>\000000002532.jpg,10,cover,0,test,0.3909098505973816
<COCO_VAL2017_DIR>\000000002532.jpg,10,stego,1,test,0.9507062435150146
<COCO_VAL2017_DIR>\000000002587.jpg,11,cover,0,train,
<COCO_VAL2017_DIR>\000000002587.jpg,11,stego,1,train,
<COCO_VAL2017_DIR>\000000002592.jpg,12,cover,0,test,0.00015028756752144545
<COCO_VAL2017_DIR>\000000002592.jpg,12,stego,1,test,0.7400146722793579
<COCO_VAL2017_DIR>\000000002685.jpg,13,cover,0,test,0.046631645411252975
<COCO_VAL2017_DIR>\000000002685.jpg,13,stego,1,test,0.5762725472450256
<COCO_VAL2017_DIR>\000000002923.jpg,14,cover,0,test,0.2002321034669876
<COCO_VAL2017_DIR>\000000002923.jpg,14,stego,1,test,0.9599224925041199
<COCO_VAL2017_DIR>\000000003156.jpg,15,cover,0,test,0.08013910800218582
<COCO_VAL2017_DIR>\000000003156.jpg,15,stego,1,test,0.9307414293289185
<COCO_VAL2017_DIR>\000000003255.jpg,16,cover,0,test,0.009138309396803379
<COCO_VAL2017_DIR>\000000003255.jpg,16,stego,1,test,0.8809980750083923
<COCO_VAL2017_DIR>\000000003501.jpg,17,cover,0,train,
<COCO_VAL2017_DIR>\000000003501.jpg,17,stego,1,train,
<COCO_VAL2017_DIR>\000000003553.jpg,18,cover,0,test,0.13018861413002014
<COCO_VAL2017_DIR>\000000003553.jpg,18,stego,1,test,0.9889850616455078
<COCO_VAL2017_DIR>\000000003661.jpg,19,cover,0,train,
<COCO_VAL2017_DIR>\000000003661.jpg,19,stego,1,train,
<COCO_VAL2017_DIR>\000000003845.jpg,20,cover,0,test,0.9539355635643005
<COCO_VAL2017_DIR>\000000003845.jpg,20,stego,1,test,0.9986563920974731
<COCO_VAL2017_DIR>\000000003934.jpg,21,cover,0,test,0.27222955226898193
<COCO_VAL2017_DIR>\000000003934.jpg,21,stego,1,test,0.9451435208320618
<COCO_VAL2017_DIR>\000000004134.jpg,22,cover,0,test,0.4523407816886902
<COCO_VAL2017_DIR>\000000004134.jpg,22,stego,1,test,0.9400308728218079
<COCO_VAL2017_DIR>\000000004395.jpg,23,cover,0,train,
<COCO_VAL2017_DIR>\000000004395.jpg,23,stego,1,train,
<COCO_VAL2017_DIR>\000000004495.jpg,24,cover,0,test,0.29964491724967957
<COCO_VAL2017_DIR>\000000004495.jpg,24,stego,1,test,0.9919628500938416
<COCO_VAL2017_DIR>\000000004765.jpg,25,cover,0,test,0.226824551820755
