payload_bytes,packet_bytes,block_size,coding,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,crop_offsets,anchor_count,anchor_scope,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,payload_token_slots,anchor_token_slots,mean_payload_leakage,mean_anchor_leakage,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,dropped_images,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio,selected_row_offset,selected_col_offset
32,44,1,fountain,1,2.5,16,jpeg85+blur1,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,154,154,0,144,144,1.0,144,144,1.0,0,0,0.88208,1.0,True,,False,0.94,0.0,0.0
32,44,1,fountain,1,2.5,16,jpeg85+noise002,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,154,154,0,144,144,1.0,144,144,1.0,0,0,0.993652,1.0,True,,False,0.94,0.0,0.0
32,44,1,fountain,1,2.5,16,crop090_r02_c-02+jpeg85,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,57,57,97,128,144,0.888889,144,144,1.0,0,0,0.078125,0.883929,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,16,crop090_r02_c-02+resize075,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,57,57,97,128,144,0.888889,144,144,1.0,0,0,0.07959,0.883929,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,16,crop090_r02_c-02+jpeg85+noise002,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,56,56,98,128,144,0.888889,144,144,1.0,0,0,0.078613,0.881494,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,16,drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,119,119,35,117,144,0.8125,117,144,0.8125,270,3,0.8125,0.891234,True,,False,0.94,0.0,0.0
32,44,1,fountain,1,2.5,16,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,37,37,117,87,144,0.604167,99,144,0.6875,405,5,0.051758,0.757305,False,decoder stopped with 7 missing source blocks,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,24,jpeg85+blur1,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,216,0.0,0.0,1232,154,154,154,0,216,216,1.0,216,216,1.0,0,0,0.876953,1.0,True,,False,0.94,0.0,0.0
32,44,1,fountain,1,2.5,24,jpeg85+noise002,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,216,0.0,0.0,1232,154,154,154,0,216,216,1.0,216,216,1.0,0,0,0.994303,1.0,True,,False,0.94,0.0,0.0
32,44,1,fountain,1,2.5,24,crop090_r02_c-02+jpeg85,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,216,0.0,0.0,1232,154,57,57,97,195,216,0.902778,216,216,1.0,0,0,0.080566,0.883929,True,,False,0.9,0.02,-0.02
