payload_bytes,packet_bytes,block_size,coding,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,crop_offsets,anchor_count,anchor_scope,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,payload_token_slots,anchor_token_slots,mean_payload_leakage,mean_anchor_leakage,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,dropped_images,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio,selected_row_offset,selected_col_offset
32,44,1,fountain,1,4.0,16,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,220,1760,1760,144,0.0,0.0,1760,220,61,61,159,89,144,0.618056,99,144,0.6875,540,5,0.05249,0.765341,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,4.0,24,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,220,1760,1760,216,0.0,0.0,1760,220,61,61,159,147,216,0.680556,162,216,0.75,540,6,0.060547,0.765341,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,4.0,32,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,220,1760,1760,288,0.0,0.0,1760,220,61,61,159,182,288,0.631944,198,288,0.6875,540,10,0.056152,0.765341,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,5.0,16,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,264,2112,2112,144,0.0,0.0,2112,264,76,76,188,89,144,0.618056,99,144,0.6875,627,5,0.054199,0.768939,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,5.0,24,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,264,2112,2112,216,0.0,0.0,2112,264,76,76,188,147,216,0.680556,162,216,0.75,627,6,0.061686,0.768939,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,5.0,32,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,264,2112,2112,288,0.0,0.0,2112,264,76,76,188,182,288,0.631944,198,288,0.6875,627,10,0.057007,0.768939,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,6.0,16,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,308,2160,2160,144,0.0,0.0,2160,270,76,76,194,89,144,0.618056,99,144,0.6875,675,5,0.054199,0.762963,True,,True,0.9,0.02,-0.02
32,44,1,fountain,1,6.0,24,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,308,2464,2464,216,0.0,0.0,2464,308,91,91,217,147,216,0.680556,162,216,0.75,675,6,0.0625,0.775568,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,6.0,32,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,308,2464,2464,288,0.0,0.0,2464,308,91,91,217,182,288,0.631944,198,288,0.6875,675,10,0.057617,0.775568,True,,False,0.9,0.02,-0.02
64,76,1,fountain,1,4.0,16,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,380,2160,2160,144,0.0,0.0,2160,270,69,69,201,88,144,0.611111,99,144,0.6875,675,5,0.048584,0.772222,False,decoder stopped with 7 missing source blocks,True,0.9,0.02,-0.02
64,76,1,fountain,1,4.0,24,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,380,3040,3040,216,0.0,0.0,3040,380,105,105,275,144,216,0.666667,162,216,0.75,745,6,0.05485,0.793421,True,,False,0.9,0.02,-0.02
64,76,1,fountain,1,4.0,32,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,380,3040,3040,288,0.0,0.0,3040,380,105,105,275,179,288,0.621528,198,288,0.6875,745,10,0.05188,0.793421,True,,False,0.9,0.02,-0.02
64,76,1,fountain,1,5.0,16,crop090_r02_c-02+jpeg85+drop25,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,456,2160,2160,144,0.0,0.0,2160,270,69,69,201,88,144,0.611111,99,144,0.6875,675,5,0.048584,0.772222,False,decoder stopped with 7 missing source blocks,True,0.9,0.02,-0.02
