payload_bytes,packet_bytes,block_size,coding,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,crop_offsets,anchor_count,anchor_scope,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,payload_token_slots,anchor_token_slots,mean_payload_leakage,mean_anchor_leakage,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,dropped_images,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio,selected_row_offset,selected_col_offset
32,44,1,fountain,1,2.0,8,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,132,1056,1056,72,0.0,0.0,1056,132,48,48,84,62,72,0.861111,72,72,1.0,0,0,0.075684,0.882576,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.0,12,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,132,1056,1056,108,0.0,0.0,1056,132,48,48,84,94,108,0.87037,108,108,1.0,0,0,0.075846,0.882576,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.0,16,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,132,1056,1056,144,0.0,0.0,1056,132,48,48,84,126,144,0.875,144,144,1.0,0,0,0.077881,0.882576,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.0,20,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,132,1056,1056,180,0.0,0.0,1056,132,48,48,84,159,180,0.883333,180,180,1.0,0,0,0.079297,0.882576,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.0,24,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,132,1056,1056,216,0.0,0.0,1056,132,48,48,84,193,216,0.893519,216,216,1.0,0,0,0.080566,0.882576,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,8,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1080,1080,72,0.0,0.0,1080,135,50,50,85,62,72,0.861111,72,72,1.0,0,0,0.077637,0.883333,True,,True,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,12,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,108,0.0,0.0,1232,154,57,57,97,96,108,0.888889,108,108,1.0,0,0,0.078451,0.883117,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,16,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,144,0.0,0.0,1232,154,57,57,97,128,144,0.888889,144,144,1.0,0,0,0.079834,0.883117,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,20,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,180,0.0,0.0,1232,154,57,57,97,161,180,0.894444,180,180,1.0,0,0,0.080859,0.883117,True,,False,0.9,0.02,-0.02
32,44,1,fountain,1,2.5,24,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,154,1232,1232,216,0.0,0.0,1232,154,57,57,97,195,216,0.902778,216,216,1.0,0,0,0.081868,0.883117,True,,False,0.9,0.02,-0.02
