payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
64,76,4,1,0.5,4,clean,projection,center,2,19,29,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,jpeg85,projection,center,2,19,29,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,resize075,projection,center,2,19,29,576,576,18,18,18,0,0.964844,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,blur1,projection,center,2,19,29,576,576,18,18,18,0,0.881836,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,noise002,projection,center,2,19,29,576,576,18,18,18,0,1.0,1.0,False,decoder stopped with 1 missing source blocks,True
64,76,4,1,0.5,4,crop090,projection,center,2,19,29,576,576,18,0,0,18,0.082031,0.795139,False,no CRC-valid symbols available,True
64,76,4,1,0.5,8,clean,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,jpeg85,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,resize075,projection,center,2,19,29,928,928,29,29,29,0,0.960449,1.0,True,,False
64,76,4,1,0.5,8,blur1,projection,center,2,19,29,928,928,29,29,29,0,0.881836,1.0,True,,False
64,76,4,1,0.5,8,noise002,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,crop090,projection,center,2,19,29,928,928,29,0,0,29,0.084473,0.793103,False,no CRC-valid symbols available,False
64,76,4,1,0.5,12,clean,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,jpeg85,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,resize075,projection,center,2,19,29,928,928,29,29,29,0,0.961914,1.0,True,,False
64,76,4,1,0.5,12,blur1,projection,center,2,19,29,928,928,29,29,29,0,0.883138,1.0,True,,False
64,76,4,1,0.5,12,noise002,projection,center,2,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,crop090,projection,center,2,19,29,928,928,29,0,0,29,0.08138,0.793103,False,no CRC-valid symbols available,False
