payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio
32,44,1,1,0.8,8,crop090,projection,center,2,crop,44,80,640,640,80,21,21,59,0.089844,0.842187,False,decoder stopped with 23 missing source blocks,False,0.88
32,44,1,1,0.8,12,crop090,projection,center,2,crop,44,80,640,640,80,21,21,59,0.084961,0.842187,False,decoder stopped with 23 missing source blocks,False,0.88
32,44,1,1,0.8,16,crop090,projection,center,2,crop,44,80,640,640,80,21,21,59,0.083252,0.842187,False,decoder stopped with 23 missing source blocks,False,0.88
32,44,1,1,0.8,24,crop090,projection,center,2,crop,44,80,640,640,80,21,21,59,0.082682,0.842187,False,decoder stopped with 23 missing source blocks,False,0.88
32,44,1,1,0.8,32,crop090,projection,center,2,crop,44,80,640,640,80,21,21,59,0.082642,0.842187,False,decoder stopped with 23 missing source blocks,False,0.88
32,44,1,1,1.2,8,crop090,projection,center,2,crop,44,97,776,776,97,25,25,72,0.088379,0.838918,False,decoder stopped with 19 missing source blocks,False,0.88
32,44,1,1,1.2,12,crop090,projection,center,2,crop,44,97,776,776,97,25,25,72,0.083984,0.838918,False,decoder stopped with 19 missing source blocks,False,0.88
32,44,1,1,1.2,16,crop090,projection,center,2,crop,44,97,776,776,97,25,25,72,0.08252,0.838918,False,decoder stopped with 19 missing source blocks,False,0.88
32,44,1,1,1.2,24,crop090,projection,center,2,crop,44,97,776,776,97,25,25,72,0.082194,0.838918,False,decoder stopped with 19 missing source blocks,False,0.88
32,44,1,1,1.2,32,crop090,projection,center,2,crop,44,97,776,776,97,25,25,72,0.082275,0.838918,False,decoder stopped with 19 missing source blocks,False,0.88
32,44,1,1,2.0,8,crop090,projection,center,2,crop,44,132,1056,1056,132,36,36,96,0.088379,0.841856,False,decoder stopped with 8 missing source blocks,False,0.88
32,44,1,1,2.0,12,crop090,projection,center,2,crop,44,132,1056,1056,132,36,36,96,0.083984,0.841856,False,decoder stopped with 8 missing source blocks,False,0.88
32,44,1,1,2.0,16,crop090,projection,center,2,crop,44,132,1056,1056,132,36,36,96,0.08252,0.841856,False,decoder stopped with 8 missing source blocks,False,0.88
32,44,1,1,2.0,24,crop090,projection,center,2,crop,44,132,1056,1056,132,36,36,96,0.082194,0.841856,False,decoder stopped with 8 missing source blocks,False,0.88
32,44,1,1,2.0,32,crop090,projection,center,2,crop,44,132,1056,1056,132,36,36,96,0.082275,0.841856,False,decoder stopped with 8 missing source blocks,False,0.88
32,44,1,2,0.8,8,crop090,projection,center,2,crop,44,80,320,640,80,11,11,69,0.084961,0.59375,False,decoder stopped with 33 missing source blocks,False,0.9
32,44,1,2,0.8,12,crop090,projection,center,2,crop,44,80,320,640,80,11,11,69,0.081706,0.59375,False,decoder stopped with 33 missing source blocks,False,0.9
32,44,1,2,0.8,16,crop090,projection,center,2,crop,44,80,320,640,80,11,11,69,0.080811,0.59375,False,decoder stopped with 33 missing source blocks,False,0.9
32,44,1,2,0.8,24,crop090,projection,center,2,crop,44,80,320,640,80,11,11,69,0.081055,0.59375,False,decoder stopped with 33 missing source blocks,False,0.9
32,44,1,2,0.8,32,crop090,projection,center,2,crop,44,80,320,640,80,11,11,69,0.081421,0.59375,False,decoder stopped with 33 missing source blocks,False,0.9
32,44,1,2,1.2,8,crop090,projection,center,2,crop,44,97,388,776,97,14,14,83,0.087402,0.587629,False,decoder stopped with 30 missing source blocks,False,0.9
32,44,1,2,1.2,12,crop090,projection,center,2,crop,44,97,388,776,97,14,14,83,0.083333,0.587629,False,decoder stopped with 30 missing source blocks,False,0.9
32,44,1,2,1.2,16,crop090,projection,center,2,crop,44,97,388,776,97,14,14,83,0.082031,0.587629,False,decoder stopped with 30 missing source blocks,False,0.9
32,44,1,2,1.2,24,crop090,projection,center,2,crop,44,97,388,776,97,14,14,83,0.081868,0.587629,False,decoder stopped with 30 missing source blocks,False,0.9
32,44,1,2,1.2,32,crop090,projection,center,2,crop,44,97,388,776,97,14,14,83,0.082031,0.587629,False,decoder stopped with 30 missing source blocks,False,0.9
32,44,1,2,2.0,8,crop090,projection,center,2,crop,44,132,528,1056,132,23,23,109,0.083496,0.632576,False,decoder stopped with 21 missing source blocks,False,0.9
32,44,1,2,2.0,12,crop090,projection,center,2,crop,44,132,528,1056,132,23,23,109,0.080729,0.632576,False,decoder stopped with 21 missing source blocks,False,0.9
32,44,1,2,2.0,16,crop090,projection,center,2,crop,44,132,528,1056,132,23,23,109,0.080078,0.632576,False,decoder stopped with 21 missing source blocks,False,0.9
32,44,1,2,2.0,24,crop090,projection,center,2,crop,44,132,528,1056,132,23,23,109,0.080566,0.632576,False,decoder stopped with 21 missing source blocks,False,0.9
32,44,1,2,2.0,32,crop090,projection,center,2,crop,44,132,528,1056,132,23,23,109,0.081055,0.632576,False,decoder stopped with 21 missing source blocks,False,0.9
