payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio
32,44,1,1,3.0,16,crop090,projection,center,2,crop,44,176,1408,1408,176,42,42,134,0.08374,0.835938,False,decoder stopped with 2 missing source blocks,False,0.88
32,44,1,1,3.0,24,crop090,projection,center,2,crop,44,176,1408,1408,176,42,42,134,0.083008,0.835938,False,decoder stopped with 2 missing source blocks,False,0.88
32,44,1,1,3.0,32,crop090,projection,center,2,crop,44,176,1408,1408,176,42,42,134,0.082886,0.835938,False,decoder stopped with 2 missing source blocks,False,0.88
32,44,1,1,3.0,48,crop090,projection,center,2,crop,44,176,1408,1408,176,42,42,134,0.082845,0.835938,False,decoder stopped with 2 missing source blocks,False,0.88
32,44,1,1,3.0,64,crop090,projection,center,2,crop,44,176,1408,1408,176,42,42,134,0.081726,0.835938,False,decoder stopped with 2 missing source blocks,False,0.88
32,44,1,1,4.0,16,crop090,projection,center,2,crop,44,220,1760,1760,220,54,54,166,0.08667,0.835795,True,,False,0.9
32,44,1,1,4.0,24,crop090,projection,center,2,crop,44,220,1760,1760,220,54,54,166,0.084961,0.835795,True,,False,0.9
32,44,1,1,4.0,32,crop090,projection,center,2,crop,44,220,1760,1760,220,54,54,166,0.084351,0.835795,True,,False,0.9
32,44,1,1,4.0,48,crop090,projection,center,2,crop,44,220,1760,1760,220,54,54,166,0.083822,0.835795,True,,False,0.9
32,44,1,1,4.0,64,crop090,projection,center,2,crop,44,220,1760,1760,220,54,54,166,0.082458,0.835795,True,,False,0.9
32,44,1,1,6.0,16,crop090,projection,center,2,crop,44,308,2304,2304,288,47,47,241,0.085449,0.801649,True,,True,0.94
32,44,1,1,6.0,24,crop090,projection,center,2,crop,44,308,2464,2464,308,50,50,258,0.08431,0.799107,True,,False,0.94
32,44,1,1,6.0,32,crop090,projection,center,2,crop,44,308,2464,2464,308,50,50,258,0.083862,0.799107,True,,False,0.94
32,44,1,1,6.0,48,crop090,projection,center,2,crop,44,308,2464,2464,308,50,50,258,0.083496,0.799107,True,,False,0.94
32,44,1,1,6.0,64,crop090,projection,center,2,crop,44,308,2464,2464,308,50,50,258,0.082214,0.799107,True,,False,0.94
64,76,1,1,3.0,16,crop090,projection,center,2,crop,76,304,2304,2304,288,63,63,225,0.082275,0.832899,False,decoder stopped with 13 missing source blocks,True,0.88
64,76,1,1,3.0,24,crop090,projection,center,2,crop,76,304,2432,2432,304,65,65,239,0.082682,0.831826,False,decoder stopped with 11 missing source blocks,False,0.88
64,76,1,1,3.0,32,crop090,projection,center,2,crop,76,304,2432,2432,304,65,65,239,0.082642,0.831826,False,decoder stopped with 11 missing source blocks,False,0.88
64,76,1,1,3.0,48,crop090,projection,center,2,crop,76,304,2432,2432,304,65,65,239,0.082682,0.831826,False,decoder stopped with 11 missing source blocks,False,0.88
64,76,1,1,3.0,64,crop090,projection,center,2,crop,76,304,2432,2432,304,65,65,239,0.081604,0.831826,False,decoder stopped with 11 missing source blocks,False,0.88
64,76,1,1,4.0,16,crop090,projection,center,2,crop,76,380,2304,2304,288,63,63,225,0.082275,0.832899,False,decoder stopped with 13 missing source blocks,True,0.88
64,76,1,1,4.0,24,crop090,projection,center,2,crop,76,380,3040,3040,380,78,78,302,0.084635,0.833224,True,,False,0.88
64,76,1,1,4.0,32,crop090,projection,center,2,crop,76,380,3040,3040,380,78,78,302,0.084106,0.833224,True,,False,0.88
64,76,1,1,4.0,48,crop090,projection,center,2,crop,76,380,3040,3040,380,78,78,302,0.083659,0.833224,True,,False,0.88
64,76,1,1,4.0,64,crop090,projection,center,2,crop,76,380,3040,3040,380,78,78,302,0.082336,0.833224,True,,False,0.88
64,76,1,1,6.0,16,crop090,projection,center,2,crop,76,532,2304,2304,288,63,63,225,0.082275,0.832899,False,decoder stopped with 13 missing source blocks,True,0.88
64,76,1,1,6.0,24,crop090,projection,center,2,crop,76,532,3456,3456,432,90,90,342,0.082031,0.829572,True,,True,0.9
64,76,1,1,6.0,32,crop090,projection,center,2,crop,76,532,4256,4256,532,78,78,454,0.082642,0.788769,True,,False,0.94
64,76,1,1,6.0,48,crop090,projection,center,2,crop,76,532,4256,4256,532,78,78,454,0.082682,0.788769,True,,False,0.94
64,76,1,1,6.0,64,crop090,projection,center,2,crop,76,532,4256,4256,532,78,78,454,0.081604,0.788769,True,,False,0.94
