payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio
64,76,4,1,0.5,4,crop090,projection,center,2,crop,19,29,576,576,18,0,0,18,0.082031,0.848958,False,no CRC-valid symbols available,True,0.88
64,76,4,1,0.5,8,crop090,projection,center,2,crop,19,29,928,928,29,0,0,29,0.084473,0.84806,False,no CRC-valid symbols available,False,0.88
64,76,4,1,0.5,12,crop090,projection,center,2,crop,19,29,928,928,29,0,0,29,0.08138,0.84806,False,no CRC-valid symbols available,False,0.88
64,76,4,1,0.5,16,crop090,projection,center,2,crop,19,29,928,928,29,0,0,29,0.080566,0.84806,False,no CRC-valid symbols available,False,0.88
64,76,4,1,0.5,24,crop090,projection,center,2,crop,19,29,928,928,29,0,0,29,0.080892,0.84806,False,no CRC-valid symbols available,False,0.88
64,76,4,1,0.8,4,crop090,projection,center,2,crop,19,35,576,576,18,0,0,18,0.082031,0.848958,False,no CRC-valid symbols available,True,0.88
64,76,4,1,0.8,8,crop090,projection,center,2,crop,19,35,1120,1120,35,0,0,35,0.08252,0.846429,False,no CRC-valid symbols available,False,0.88
64,76,4,1,0.8,12,crop090,projection,center,2,crop,19,35,1120,1120,35,0,0,35,0.080078,0.846429,False,no CRC-valid symbols available,False,0.88
64,76,4,1,0.8,16,crop090,projection,center,2,crop,19,35,1120,1120,35,0,0,35,0.07959,0.846429,False,no CRC-valid symbols available,False,0.88
64,76,4,1,0.8,24,crop090,projection,center,2,crop,19,35,1120,1120,35,0,0,35,0.080241,0.846429,False,no CRC-valid symbols available,False,0.88
64,76,4,2,0.5,4,crop090,projection,center,2,crop,19,29,464,928,29,0,0,29,0.083984,0.614224,False,no CRC-valid symbols available,False,0.88
64,76,4,2,0.5,8,crop090,projection,center,2,crop,19,29,464,928,29,0,0,29,0.083984,0.614224,False,no CRC-valid symbols available,False,0.88
64,76,4,2,0.5,12,crop090,projection,center,2,crop,19,29,464,928,29,0,0,29,0.081055,0.614224,False,no CRC-valid symbols available,False,0.88
64,76,4,2,0.5,16,crop090,projection,center,2,crop,19,29,464,928,29,0,0,29,0.080322,0.614224,False,no CRC-valid symbols available,False,0.88
64,76,4,2,0.5,24,crop090,projection,center,2,crop,19,29,464,928,29,0,0,29,0.080729,0.614224,False,no CRC-valid symbols available,False,0.88
64,76,4,2,0.8,4,crop090,projection,center,2,crop,19,35,560,1120,35,0,0,35,0.087891,0.621429,False,no CRC-valid symbols available,False,0.88
