ablation,variant,payload_bytes,image_copies,attack,coding,binning,position_mode,anchor_scope,anchor_count,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,payload_token_slots,anchor_token_slots,mean_payload_leakage,mean_anchor_leakage,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,dropped_images,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio,selected_row_offset,selected_col_offset
coding,fountain,64,16,crop090_r02_c-02,fountain,projection,center,block,1,4,0.0,76,380,2160,2160,144,0.0,0.0,270,119,119,151,127,144,0.881944,144,144,1.0,0,0,0.073486,0.89537,True,,True,0.9,0.02,-0.02
coding,repetition,64,16,crop090_r02_c-02,repetition,projection,center,block,1,4,0.0,76,380,2160,2160,144,0.0,0.0,270,109,109,161,133,144,0.923611,144,144,1.0,0,0,0.078857,0.884259,False,decoder stopped with 12 missing source blocks,True,0.9,0.02,-0.02
sampling,projection,64,16,crop090_r02_c-02,fountain,projection,center,block,1,4,0.0,76,380,2160,2160,144,0.0,0.0,270,119,119,151,127,144,0.881944,144,144,1.0,0,0,0.073486,0.89537,True,,True,0.9,0.02,-0.02
sampling,naive,64,16,crop090_r02_c-02,fountain,naive,center,block,1,4,0.0,76,380,2160,2160,144,0.03112697,0.03112697,270,7,7,263,95,144,0.659722,144,144,1.0,0,0,0.076416,0.636574,False,decoder stopped with 69 missing source blocks,True,0.92,0.02,-0.02
anchors,block_1_per_4x4,64,16,crop090_r02_c-02,fountain,projection,center,block,1,4,0.0,76,380,2160,2160,144,0.0,0.0,270,119,119,151,127,144,0.881944,144,144,1.0,0,0,0.073486,0.89537,True,,True,0.9,0.02,-0.02
anchors,global_9,64,16,crop090_r02_c-02,fountain,projection,center,global,9,4,0.0,76,380,2160,2160,144,0.0,0.0,270,96,96,174,130,144,0.902778,0,0,0.0,0,0,0.082031,0.882407,True,,True,0.92,0.02,-0.02
schedule,center,64,16,crop090_r02_c-02,fountain,projection,center,global,9,4,0.0,76,380,2160,2160,144,0.0,0.0,270,96,96,174,130,144,0.902778,0,0,0.0,0,0,0.082031,0.882407,True,,True,0.92,0.02,-0.02
schedule,random,64,16,crop090_r02_c-02,fountain,projection,random,global,9,4,0.0,76,380,3040,3040,144,0.0,0.0,380,71,71,309,110,144,0.763889,0,0,0.0,0,0,0.082764,0.81875,False,decoder stopped with 5 missing source blocks,False,0.92,0.02,-0.02
block_rejection,off,64,16,crop090_r02_c-02,fountain,projection,center,block,2,4,0.0,76,380,2016,2016,288,0.0,0.0,252,85,85,167,257,288,0.892361,144,144,1.0,0,0,0.081055,0.876488,True,,True,0.9,0.02,-0.02
block_rejection,threshold_0_5,64,16,crop090_r02_c-02,fountain,projection,center,block,2,4,0.5,76,380,2016,2016,288,0.0,0.0,252,83,83,169,257,288,0.892361,141,144,0.979167,42,0,0.081055,0.86756,True,,True,0.9,0.02,-0.02
