image,tokenizer,image_size,patch_size,levels,codebook_size,token_grid,token_count,attacks,stable_positions_all_attacks,stable_position_rate_all_attacks,mean_changed_tokens,mean_token_match_rate
000000470173.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,93,0.363281,,
000000074733.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,56,0.21875,,
000000125806.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,76,0.296875,,
000000546556.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,112,0.4375,,
000000109976.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,156,0.609375,,
000000527695.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,51,0.199219,,
000000213816.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,75,0.292969,,
000000377497.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,123,0.480469,,
000000542089.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,151,0.589844,,
000000442463.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,131,0.511719,,
000000173091.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,103,0.402344,,
000000242724.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,114,0.445312,,
000000370900.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,70,0.273438,,
000000396568.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,119,0.464844,,
000000240940.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,100,0.390625,,
000000521717.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,174,0.679688,,
000000235857.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,85,0.332031,,
000000368038.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,104,0.40625,,
000000080666.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,97,0.378906,,
000000557501.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,103,0.402344,,
000000195754.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,92,0.359375,,
000000017714.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,103,0.402344,,
000000295316.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,193,0.753906,,
000000309452.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,100,0.390625,,
000000395180.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,77,0.300781,,
000000376322.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,52,0.203125,,
000000184791.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,80,0.3125,,
000000553221.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,127,0.496094,,
000000496722.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,107,0.417969,,
000000172396.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,64,0.25,,
000000236592.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,125,0.488281,,
000000192191.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,64,0.25,,
000000258541.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,106,0.414062,,
000000027982.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,98,0.382812,,
000000177489.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,60,0.234375,,
000000085911.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,148,0.578125,,
000000214753.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,143,0.558594,,
000000526197.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,97,0.378906,,
000000091500.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,80,0.3125,,
000000111207.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,64,0.25,,
000000133233.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,82,0.320312,,
000000328238.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,134,0.523438,,
000000287527.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,134,0.523438,,
000000060899.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,94,0.367188,,
000000283412.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,89,0.347656,,
000000229753.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,112,0.4375,,
000000118209.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,106,0.414062,,
000000419201.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,117,0.457031,,
000000416104.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,94,0.367188,,
000000243626.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,76,0.296875,,
000000511999.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,79,0.308594,,
000000031269.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,111,0.433594,,
000000133343.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,109,0.425781,,
000000460682.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,97,0.378906,,
000000474078.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,106,0.414062,,
000000485895.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,103,0.402344,,
000000215644.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,90,0.351562,,
000000475484.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,96,0.375,,
000000031735.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,56,0.21875,,
000000414676.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,98,0.382812,,
000000435205.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,154,0.601562,,
000000090956.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,204,0.796875,,
000000317024.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,76,0.296875,,
000000096549.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,143,0.558594,,
000000455301.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,99,0.386719,,
000000212166.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,90,0.351562,,
000000480985.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,58,0.226562,,
000000579635.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,205,0.800781,,
000000055950.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,111,0.433594,,
000000067310.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,88,0.34375,,
000000050943.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,165,0.644531,,
000000399560.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,100,0.390625,,
000000494188.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,82,0.320312,,
000000482585.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,95,0.371094,,
000000276055.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,82,0.320312,,
000000471567.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,121,0.472656,,
000000088265.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,55,0.214844,,
000000450439.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,201,0.785156,,
000000491090.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,53,0.207031,,
000000449661.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,105,0.410156,,
000000540502.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,120,0.46875,,
000000144706.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,100,0.390625,,
000000459662.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,86,0.335938,,
000000475732.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,157,0.613281,,
000000125062.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,52,0.203125,,
000000241326.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,94,0.367188,,
000000501523.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,74,0.289062,,
000000031118.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,107,0.417969,,
000000561256.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,125,0.488281,,
000000254016.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,56,0.21875,,
000000101420.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,128,0.5,,
000000153527.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,48,0.1875,,
000000405432.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,109,0.425781,,
000000261097.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,112,0.4375,,
000000340015.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,60,0.234375,,
000000521259.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,66,0.257812,,
000000349837.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,100,0.390625,,
000000121497.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,55,0.214844,,
000000116479.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,79,0.308594,,
000000410487.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean crop090,95,0.371094,,
<aggregate>,learned-patch-vq,,,,,,256,clean,,,0.0,1.0
<aggregate>,learned-patch-vq,,,,,,256,crop090,,,154.34,0.397109
