payload_bytes,block_size,overhead,erasure_rate,trials,source_symbols,encoded_symbols,mean_delivered_symbols,exact_recovery_rate
128,32,0.25,0.0,20,5,7,7.0,1.0
128,32,0.25,0.1,20,5,7,6.45,0.9
128,32,0.25,0.2,20,5,7,5.25,0.4
128,32,0.25,0.3,20,5,7,4.8,0.3
128,32,0.25,0.4,20,5,7,3.7,0.1
128,32,0.25,0.5,20,5,7,3.6,0.05
128,32,0.5,0.0,20,5,8,8.0,1.0
128,32,0.5,0.1,20,5,8,7.6,0.9
128,32,0.5,0.2,20,5,8,6.65,0.85
128,32,0.5,0.3,20,5,8,5.85,0.65
128,32,0.5,0.4,20,5,8,4.85,0.35
128,32,0.5,0.5,20,5,8,3.85,0.35
128,32,0.8,0.0,20,5,9,9.0,1.0
128,32,0.8,0.1,20,5,9,8.4,1.0
128,32,0.8,0.2,20,5,9,7.0,0.65
128,32,0.8,0.3,20,5,9,6.1,0.6
128,32,0.8,0.4,20,5,9,4.95,0.45
128,32,0.8,0.5,20,5,9,5.0,0.45
128,32,1.2,0.0,20,5,11,11.0,1.0
128,32,1.2,0.1,20,5,11,9.95,1.0
128,32,1.2,0.2,20,5,11,8.35,0.75
128,32,1.2,0.3,20,5,11,7.65,0.7
128,32,1.2,0.4,20,5,11,6.8,0.7
128,32,1.2,0.5,20,5,11,6.05,0.4
1024,32,0.25,0.0,20,33,42,42.0,1.0
1024,32,0.25,0.1,20,33,42,38.0,0.95
1024,32,0.25,0.2,20,33,42,33.3,0.5
1024,32,0.25,0.3,20,33,42,28.4,0.0
1024,32,0.25,0.4,20,33,42,23.8,0.0
1024,32,0.25,0.5,20,33,42,22.05,0.0
1024,32,0.5,0.0,20,33,50,50.0,1.0
1024,32,0.5,0.1,20,33,50,44.4,1.0
1024,32,0.5,0.2,20,33,50,39.7,1.0
1024,32,0.5,0.3,20,33,50,34.3,0.5
1024,32,0.5,0.4,20,33,50,28.75,0.1
1024,32,0.5,0.5,20,33,50,24.8,0.0
1024,32,0.8,0.0,20,33,60,60.0,1.0
1024,32,0.8,0.1,20,33,60,54.4,1.0
1024,32,0.8,0.2,20,33,60,47.7,1.0
1024,32,0.8,0.3,20,33,60,41.7,0.95
1024,32,0.8,0.4,20,33,60,37.7,0.9
1024,32,0.8,0.5,20,33,60,29.8,0.15
1024,32,1.2,0.0,20,33,73,73.0,1.0
1024,32,1.2,0.1,20,33,73,64.85,1.0
1024,32,1.2,0.2,20,33,73,58.7,1.0
1024,32,1.2,0.3,20,33,73,51.25,1.0
1024,32,1.2,0.4,20,33,73,44.95,1.0
1024,32,1.2,0.5,20,33,73,37.4,0.65
