image,tokenizer,image_size,patch_size,levels,codebook_size,token_grid,token_count,attacks,stable_positions_all_attacks,stable_position_rate_all_attacks,mean_changed_tokens,mean_token_match_rate
121000.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,56,0.21875,,
000000279541.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,59,0.230469,,
paisley_0090.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,58,0.226562,,
000000522751.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,122,0.476562,,
dotted_0093.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,109,0.425781,,
1115.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,38,0.148438,,
6512.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,131,0.511719,,
000000454067.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,49,0.191406,,
5134.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,45,0.175781,,
1827.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,54,0.210938,,
2830.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,100,0.390625,,
grid_0104.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,27,0.105469,,
000000082085.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,36,0.140625,,
4219.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,81,0.316406,,
9798.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,176,0.6875,,
braided_0178.jpg,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,175,0.683594,,
